retailer_name,retailer_website,external_product_id,external_variant_id,product_name,variant_name,brand,category,description,image,slug,external_url,affiliate_url,external_gtin,price,shipping_known,shipping_cost,in_stock,is_for_sale,size,size_unit,flavour,product_format,pack_count,source_updated_at,external_sku,external_options,product_id,product_variant_id
6 Pack Supplements,https://6pack-supplements.co.uk,4486,29232,CNP Loaded H2O 300g,Strawberry Laces / 300g,CNP,Hydration,,https://6pack-supplements.co.uk/wp-content/uploads/2021/01/cnp-loaded-h20-hydration-electrolyte-6pack-supplements.jpg,cnp-loaded-h2o-300g,https://6pack-supplements.co.uk/product/cnp-loaded-h20-300g-electrolytes-zero/,https://6pack-supplements.co.uk/product/cnp-loaded-h20-300g-electrolytes-zero/,,19.99,true,4.99,true,true,300,g,Strawberry Laces,powder,1,2026-07-28T09:43:13.090Z,,"{""Flavour"":""Strawberry Laces""}",1055,2206
6 Pack Supplements,https://6pack-supplements.co.uk,4486,29235,CNP Loaded H2O 300g,Peach Rings / 300g,CNP,Hydration,,https://6pack-supplements.co.uk/wp-content/uploads/2021/01/cnp-loaded-h20-hydration-electrolyte-6pack-supplements.jpg,cnp-loaded-h2o-300g,https://6pack-supplements.co.uk/product/cnp-loaded-h20-300g-electrolytes-zero/,https://6pack-supplements.co.uk/product/cnp-loaded-h20-300g-electrolytes-zero/,,19.99,true,4.99,true,true,300,g,Peach Rings,powder,1,2026-07-28T09:43:13.090Z,,"{""Flavour"":""Peach Rings""}",1055,2207
6 Pack Supplements,https://6pack-supplements.co.uk,4486,29238,CNP Loaded H2O 300g,Orange Burst / 300g,CNP,Hydration,,https://6pack-supplements.co.uk/wp-content/uploads/2021/01/cnp-loaded-h20-hydration-electrolyte-6pack-supplements.jpg,cnp-loaded-h2o-300g,https://6pack-supplements.co.uk/product/cnp-loaded-h20-300g-electrolytes-zero/,https://6pack-supplements.co.uk/product/cnp-loaded-h20-300g-electrolytes-zero/,,19.99,true,4.99,true,true,300,g,Orange Burst,powder,1,2026-07-28T09:43:13.090Z,,"{""Flavour"":""Orange Burst""}",1055,2208
6 Pack Supplements,https://6pack-supplements.co.uk,4486,29241,CNP Loaded H2O 300g,Blue Bears / 300g,CNP,Hydration,,https://6pack-supplements.co.uk/wp-content/uploads/2021/01/cnp-loaded-h20-hydration-electrolyte-6pack-supplements.jpg,cnp-loaded-h2o-300g,https://6pack-supplements.co.uk/product/cnp-loaded-h20-300g-electrolytes-zero/,https://6pack-supplements.co.uk/product/cnp-loaded-h20-300g-electrolytes-zero/,,19.99,true,4.99,true,true,300,g,Blue Bears,powder,1,2026-07-28T09:43:13.090Z,,"{""Flavour"":""Blue Bears""}",1055,2209
6 Pack Supplements,https://6pack-supplements.co.uk,4486,29244,CNP Loaded H2O 300g,Big Juicy Melons / 300g,CNP,Hydration,,https://6pack-supplements.co.uk/wp-content/uploads/2021/01/cnp-loaded-h20-hydration-electrolyte-6pack-supplements.jpg,cnp-loaded-h2o-300g,https://6pack-supplements.co.uk/product/cnp-loaded-h20-300g-electrolytes-zero/,https://6pack-supplements.co.uk/product/cnp-loaded-h20-300g-electrolytes-zero/,,19.99,true,4.99,true,true,300,g,Big Juicy Melons,powder,1,2026-07-28T09:43:13.090Z,,"{""Flavour"":""Big Juicy Melons""}",1055,2210
6 Pack Supplements,https://6pack-supplements.co.uk,3088,28900,Nutrend Flexit Drink 400g,Grapefruit / 400g,Nutrend,Health Supplements,,https://6pack-supplements.co.uk/wp-content/uploads/2020/10/nutrend-flex-joint-support-6pack-supplements.jpg,nutrend-flexit-drink-400g,https://6pack-supplements.co.uk/product/nutrend-flexit-drink-400g-joint-support/,https://6pack-supplements.co.uk/product/nutrend-flexit-drink-400g-joint-support/,,19.99,true,4.99,true,true,400,g,Grapefruit,powder,1,2026-07-28T09:43:13.213Z,,"{""Flavour"":""Grapefruit""}",1056,2212
6 Pack Supplements,https://6pack-supplements.co.uk,3088,28903,Nutrend Flexit Drink 400g,Orange / 400g,Nutrend,Health Supplements,,https://6pack-supplements.co.uk/wp-content/uploads/2020/10/nutrend-flex-joint-support-6pack-supplements.jpg,nutrend-flexit-drink-400g,https://6pack-supplements.co.uk/product/nutrend-flexit-drink-400g-joint-support/,https://6pack-supplements.co.uk/product/nutrend-flexit-drink-400g-joint-support/,,19.99,true,4.99,true,true,400,g,Orange,powder,1,2026-07-28T09:43:13.213Z,,"{""Flavour"":""Orange""}",1056,2213
6 Pack Supplements,https://6pack-supplements.co.uk,3088,28906,Nutrend Flexit Drink 400g,Peach / 400g,Nutrend,Health Supplements,,https://6pack-supplements.co.uk/wp-content/uploads/2020/10/nutrend-flex-joint-support-6pack-supplements.jpg,nutrend-flexit-drink-400g,https://6pack-supplements.co.uk/product/nutrend-flexit-drink-400g-joint-support/,https://6pack-supplements.co.uk/product/nutrend-flexit-drink-400g-joint-support/,,19.99,true,4.99,true,true,400,g,Peach,powder,1,2026-07-28T09:43:13.213Z,,"{""Flavour"":""Peach""}",1056,2214
6 Pack Supplements,https://6pack-supplements.co.uk,3088,28909,Nutrend Flexit Drink 400g,Strawberry / 400g,Nutrend,Health Supplements,,https://6pack-supplements.co.uk/wp-content/uploads/2020/10/nutrend-flex-joint-support-6pack-supplements.jpg,nutrend-flexit-drink-400g,https://6pack-supplements.co.uk/product/nutrend-flexit-drink-400g-joint-support/,https://6pack-supplements.co.uk/product/nutrend-flexit-drink-400g-joint-support/,,19.99,true,4.99,true,true,400,g,Strawberry,powder,1,2026-07-28T09:43:13.213Z,,"{""Flavour"":""Strawberry""}",1056,2215
6 Pack Supplements,https://6pack-supplements.co.uk,3088,28912,Nutrend Flexit Drink 400g,Lemon / 400g,Nutrend,Health Supplements,,https://6pack-supplements.co.uk/wp-content/uploads/2020/10/nutrend-flex-joint-support-6pack-supplements.jpg,nutrend-flexit-drink-400g,https://6pack-supplements.co.uk/product/nutrend-flexit-drink-400g-joint-support/,https://6pack-supplements.co.uk/product/nutrend-flexit-drink-400g-joint-support/,,19.99,true,4.99,true,true,400,g,Lemon,powder,1,2026-07-28T09:43:13.213Z,,"{""Flavour"":""Lemon""}",1056,2216
