"retailer_name","retailer_website","external_product_id","external_variant_id","product_name","variant_name","brand","category","description","image","slug","external_url","affiliate_url","external_gtin","price","shipping_known","shipping_cost","in_stock","is_for_sale","size","size_unit","flavour","product_format","pack_count","source_updated_at","external_sku","external_options","product_id","product_variant_id"
"6 Pack Supplements","https://6pack-supplements.co.uk","3980","3988","7Nutrition Whey Isolate 90 1kg","Raspberry / 1kg","7Nutrition","Whey Protein","","https://6pack-supplements.co.uk/wp-content/uploads/2020/12/7nutrition-whey-isolate-1000g-protein-6pack-supplements.jpg","7nutrition-whey-isolate-90-1kg","https://6pack-supplements.co.uk/product/whey-isolate-90-1000g-7nutrition/","https://6pack-supplements.co.uk/product/whey-isolate-90-1000g-7nutrition/","","41.99","true","4.99","true","true","1000","g","Raspberry","powder","1","2026-07-27T16:28:28.387Z","","{""Flavour"":""Raspberry"",""Retailer Flavour"":""Raspberry""}","68","1997"
"6 Pack Supplements","https://6pack-supplements.co.uk","3980","3994","7Nutrition Whey Isolate 90 1kg","Cookies & Cream / 1kg","7Nutrition","Whey Protein","","https://6pack-supplements.co.uk/wp-content/uploads/2020/12/7nutrition-whey-isolate-1000g-protein-6pack-supplements.jpg","7nutrition-whey-isolate-90-1kg","https://6pack-supplements.co.uk/product/whey-isolate-90-1000g-7nutrition/","https://6pack-supplements.co.uk/product/whey-isolate-90-1000g-7nutrition/","","41.99","true","4.99","true","true","1000","g","Cookies & Cream","powder","1","2026-07-27T16:28:28.387Z","","{""Flavour"":""Cookies & Cream"",""Retailer Flavour"":""Cookie with cream""}","68","1998"
"6 Pack Supplements","https://6pack-supplements.co.uk","3870","3873","BioTech USA Iso Whey Zero 908g","Chocolate / 908g","BioTech USA","Whey Protein","","https://6pack-supplements.co.uk/wp-content/uploads/2020/11/iso-whey-protein-biotechusa-908g-6pack-supplements.jpg","biotech-usa-iso-whey-zero-908g","https://6pack-supplements.co.uk/product/iso-whey-zero-908g-biotechusa/","https://6pack-supplements.co.uk/product/iso-whey-zero-908g-biotechusa/","","39.99","true","4.99","true","true","908","g","Chocolate","powder","1","2026-07-27T16:28:28.543Z","","{""Flavour"":""Chocolate"",""Retailer Flavour"":""Chocolate""}","14","1999"
"6 Pack Supplements","https://6pack-supplements.co.uk","3870","28741","BioTech USA Iso Whey Zero 908g","Dark Chocolate / 908g","BioTech USA","Whey Protein","","https://6pack-supplements.co.uk/wp-content/uploads/2020/11/iso-whey-protein-biotechusa-908g-6pack-supplements.jpg","biotech-usa-iso-whey-zero-908g","https://6pack-supplements.co.uk/product/iso-whey-zero-908g-biotechusa/","https://6pack-supplements.co.uk/product/iso-whey-zero-908g-biotechusa/","","39.99","true","4.99","true","true","908","g","Dark Chocolate","powder","1","2026-07-27T16:28:28.543Z","","{""Flavour"":""Dark Chocolate"",""Retailer Flavour"":""Dark Chocolate""}","14","2000"
"6 Pack Supplements","https://6pack-supplements.co.uk","3870","28744","BioTech USA Iso Whey Zero 908g","Salted Caramel / 908g","BioTech USA","Whey Protein","","https://6pack-supplements.co.uk/wp-content/uploads/2020/11/iso-whey-protein-biotechusa-908g-6pack-supplements.jpg","biotech-usa-iso-whey-zero-908g","https://6pack-supplements.co.uk/product/iso-whey-zero-908g-biotechusa/","https://6pack-supplements.co.uk/product/iso-whey-zero-908g-biotechusa/","","39.99","true","4.99","true","true","908","g","Salted Caramel","powder","1","2026-07-27T16:28:28.543Z","","{""Flavour"":""Salted Caramel"",""Retailer Flavour"":""salty caramel""}","14","2001"
"6 Pack Supplements","https://6pack-supplements.co.uk","4705","4706","7Nutrition Bodybuilder 7kg","White Chocolate / 7kg","7Nutrition","Health Supplements","","https://6pack-supplements.co.uk/wp-content/uploads/2021/01/7nutrition-bodybuilder-7kg.png","7nutrition-bodybuilder-7kg","https://6pack-supplements.co.uk/product/7nutrition-bodybuilder-mass-gainer-7kg/","https://6pack-supplements.co.uk/product/7nutrition-bodybuilder-mass-gainer-7kg/","","59.99","true","4.99","false","true","7000","g","White Chocolate","powder","1","2026-07-27T16:28:28.766Z","","{""Flavour"":""White Chocolate"",""Retailer Flavour"":""White Chocolate""}","129","2002"
"6 Pack Supplements","https://6pack-supplements.co.uk","4705","4707","7Nutrition Bodybuilder 7kg","Cookies & Cream / 7kg","7Nutrition","Health Supplements","","https://6pack-supplements.co.uk/wp-content/uploads/2021/01/7nutrition-bodybuilder-7kg.png","7nutrition-bodybuilder-7kg","https://6pack-supplements.co.uk/product/7nutrition-bodybuilder-mass-gainer-7kg/","https://6pack-supplements.co.uk/product/7nutrition-bodybuilder-mass-gainer-7kg/","","59.99","true","4.99","false","true","7000","g","Cookies & Cream","powder","1","2026-07-27T16:28:28.766Z","","{""Flavour"":""Cookies & Cream"",""Retailer Flavour"":""Cookies cream""}","129","2003"
"6 Pack Supplements","https://6pack-supplements.co.uk","4705","4708","7Nutrition Bodybuilder 7kg","Chocolate Caramel Hazelnut / 7kg","7Nutrition","Health Supplements","","https://6pack-supplements.co.uk/wp-content/uploads/2021/01/7nutrition-bodybuilder-7kg.png","7nutrition-bodybuilder-7kg","https://6pack-supplements.co.uk/product/7nutrition-bodybuilder-mass-gainer-7kg/","https://6pack-supplements.co.uk/product/7nutrition-bodybuilder-mass-gainer-7kg/","","59.99","true","4.99","true","true","7000","g","Chocolate Caramel Hazelnut","powder","1","2026-07-27T16:28:28.766Z","","{""Flavour"":""Chocolate Caramel Hazelnut"",""Retailer Flavour"":""Chocolate Caramel Hazelnut""}","129","2004"
"6 Pack Supplements","https://6pack-supplements.co.uk","4705","4724","7Nutrition Bodybuilder 7kg","Triple Chocolate / 7kg","7Nutrition","Health Supplements","","https://6pack-supplements.co.uk/wp-content/uploads/2021/01/7nutrition-bodybuilder-7kg.png","7nutrition-bodybuilder-7kg","https://6pack-supplements.co.uk/product/7nutrition-bodybuilder-mass-gainer-7kg/","https://6pack-supplements.co.uk/product/7nutrition-bodybuilder-mass-gainer-7kg/","","59.99","true","4.99","false","true","7000","g","Triple Chocolate","powder","1","2026-07-27T16:28:28.766Z","","{""Flavour"":""Triple Chocolate"",""Retailer Flavour"":""Triple Chocolate""}","129","2005"
"6 Pack Supplements","https://6pack-supplements.co.uk","4705","4725","7Nutrition Bodybuilder 7kg","Vanilla Ice Cream / 7kg","7Nutrition","Health Supplements","","https://6pack-supplements.co.uk/wp-content/uploads/2021/01/7nutrition-bodybuilder-7kg.png","7nutrition-bodybuilder-7kg","https://6pack-supplements.co.uk/product/7nutrition-bodybuilder-mass-gainer-7kg/","https://6pack-supplements.co.uk/product/7nutrition-bodybuilder-mass-gainer-7kg/","","59.99","true","4.99","false","true","7000","g","Vanilla Ice Cream","powder","1","2026-07-27T16:28:28.766Z","","{""Flavour"":""Vanilla Ice Cream"",""Retailer Flavour"":""Vanilla Ice Cream""}","129","2006"
