retailer_name,retailer_website,external_product_id,external_variant_id,product_name,variant_name,brand,category,description,image,slug,external_url,affiliate_url,external_gtin,price,shipping_known,shipping_cost,in_stock,is_for_sale,size,size_unit,flavour,product_format,pack_count,source_updated_at,external_sku,external_options,product_id,product_variant_id
6 Pack Supplements,https://6pack-supplements.co.uk,16448,16448,Nordic Labs Long Jack Tongkat Ali 60 Capsules,Default,Nordic Labs,Health Supplements,,https://6pack-supplements.co.uk/wp-content/uploads/2023/08/29.jpg,nordic-labs-long-jack-tongkat-ali-60-capsules,https://6pack-supplements.co.uk/product/tongkat-ali-long-jack-60-capsules/,https://6pack-supplements.co.uk/product/tongkat-ali-long-jack-60-capsules/,,20.00,true,4.99,true,true,,,,capsule,1,2026-07-27T15:01:29.860Z,5060803380070,"{""Brands"":""Nordic Labs""}",982,1922
6 Pack Supplements,https://6pack-supplements.co.uk,6229,6232,Reflex Instant Mass Heavyweight 5.4kg,Chocolate Perfection / 5.4kg,Reflex Nutrition,Health Supplements,,https://6pack-supplements.co.uk/wp-content/uploads/2020/10/WhatsApp-Image-2020-10-07-at-5.19.49-PM.jpeg,reflex-instant-mass-heavyweight-54kg,https://6pack-supplements.co.uk/product/instant-mass-heavyweight-5-4kg-reflex-nutrition/,https://6pack-supplements.co.uk/product/instant-mass-heavyweight-5-4kg-reflex-nutrition/,,44.99,true,4.99,true,true,5400,g,Chocolate Perfection,powder,1,2026-07-27T15:01:32.002Z,,"{""Flavour"":""Chocolate Perfection""}",126,1983
6 Pack Supplements,https://6pack-supplements.co.uk,6229,6233,Reflex Instant Mass Heavyweight 5.4kg,Strawberries & Cream / 5.4kg,Reflex Nutrition,Health Supplements,,https://6pack-supplements.co.uk/wp-content/uploads/2020/10/WhatsApp-Image-2020-10-07-at-5.19.49-PM.jpeg,reflex-instant-mass-heavyweight-54kg,https://6pack-supplements.co.uk/product/instant-mass-heavyweight-5-4kg-reflex-nutrition/,https://6pack-supplements.co.uk/product/instant-mass-heavyweight-5-4kg-reflex-nutrition/,,44.99,true,4.99,true,true,5400,g,Strawberries & Cream,powder,1,2026-07-27T15:01:32.002Z,,"{""Flavour"":""Strawberries & Cream""}",126,1984
6 Pack Supplements,https://6pack-supplements.co.uk,6229,6234,Reflex Instant Mass Heavyweight 5.4kg,Choc-Peanut Butter / 5.4kg,Reflex Nutrition,Health Supplements,,https://6pack-supplements.co.uk/wp-content/uploads/2020/10/WhatsApp-Image-2020-10-07-at-5.19.49-PM.jpeg,reflex-instant-mass-heavyweight-54kg,https://6pack-supplements.co.uk/product/instant-mass-heavyweight-5-4kg-reflex-nutrition/,https://6pack-supplements.co.uk/product/instant-mass-heavyweight-5-4kg-reflex-nutrition/,,44.99,true,4.99,true,true,5400,g,Choc-Peanut Butter,powder,1,2026-07-27T15:01:32.002Z,,"{""Flavour"":""Choc-Peanut Butter""}",126,1985
6 Pack Supplements,https://6pack-supplements.co.uk,6229,6235,Reflex Instant Mass Heavyweight 5.4kg,Vanilla Ice Cream / 5.4kg,Reflex Nutrition,Health Supplements,,https://6pack-supplements.co.uk/wp-content/uploads/2020/10/WhatsApp-Image-2020-10-07-at-5.19.49-PM.jpeg,reflex-instant-mass-heavyweight-54kg,https://6pack-supplements.co.uk/product/instant-mass-heavyweight-5-4kg-reflex-nutrition/,https://6pack-supplements.co.uk/product/instant-mass-heavyweight-5-4kg-reflex-nutrition/,,44.99,true,4.99,true,true,5400,g,Vanilla Ice Cream,powder,1,2026-07-27T15:01:32.002Z,,"{""Flavour"":""Vanilla Ice Cream""}",126,1986
6 Pack Supplements,https://6pack-supplements.co.uk,6229,6236,Reflex Instant Mass Heavyweight 5.4kg,Cookies & Cream / 5.4kg,Reflex Nutrition,Health Supplements,,https://6pack-supplements.co.uk/wp-content/uploads/2020/10/WhatsApp-Image-2020-10-07-at-5.19.49-PM.jpeg,reflex-instant-mass-heavyweight-54kg,https://6pack-supplements.co.uk/product/instant-mass-heavyweight-5-4kg-reflex-nutrition/,https://6pack-supplements.co.uk/product/instant-mass-heavyweight-5-4kg-reflex-nutrition/,,44.99,true,4.99,true,true,5400,g,Cookies & Cream,powder,1,2026-07-27T15:01:32.002Z,,"{""Flavour"":""Cookies & Cream""}",126,1987
6 Pack Supplements,https://6pack-supplements.co.uk,6229,19815,Reflex Instant Mass Heavyweight 5.4kg,Salted Caramel / 5.4kg,Reflex Nutrition,Health Supplements,,https://6pack-supplements.co.uk/wp-content/uploads/2021/04/reflex-nutrition-instant-mass-gainer-heavyweight-5.4kg-6pack-supplements-.jpg,reflex-instant-mass-heavyweight-54kg,https://6pack-supplements.co.uk/product/instant-mass-heavyweight-5-4kg-reflex-nutrition/,https://6pack-supplements.co.uk/product/instant-mass-heavyweight-5-4kg-reflex-nutrition/,,44.99,true,4.99,true,true,5400,g,Salted Caramel,powder,1,2026-07-27T15:01:32.002Z,,"{""Flavour"":""Salted Caramel""}",126,1988
6 Pack Supplements,https://6pack-supplements.co.uk,4005,4007,7Nutrition Whey Isolate 90 500g,Vanilla / 500g,7Nutrition,Whey Protein,,https://6pack-supplements.co.uk/wp-content/uploads/2020/12/7nutrition-whey-isolate-500g-protein-6pack-supplements.jpg,7nutrition-whey-isolate-90-500g,https://6pack-supplements.co.uk/product/whey-isolate-90-500g-7nutrition/,https://6pack-supplements.co.uk/product/whey-isolate-90-500g-7nutrition/,,23.99,true,4.99,true,true,500,g,Vanilla,powder,1,2026-07-27T15:01:32.161Z,,"{""Flavours"":""Vanilla""}",954,1989
6 Pack Supplements,https://6pack-supplements.co.uk,4005,4009,7Nutrition Whey Isolate 90 500g,Strawberry Banana / 500g,7Nutrition,Whey Protein,,https://6pack-supplements.co.uk/wp-content/uploads/2020/12/7nutrition-whey-isolate-500g-protein-6pack-supplements.jpg,7nutrition-whey-isolate-90-500g,https://6pack-supplements.co.uk/product/whey-isolate-90-500g-7nutrition/,https://6pack-supplements.co.uk/product/whey-isolate-90-500g-7nutrition/,,23.99,true,4.99,true,true,500,g,Strawberry Banana,powder,1,2026-07-27T15:01:32.161Z,,"{""Flavours"":""Strawberry-banana""}",954,1990
6 Pack Supplements,https://6pack-supplements.co.uk,4005,4010,7Nutrition Whey Isolate 90 500g,Raspberry / 500g,7Nutrition,Whey Protein,,https://6pack-supplements.co.uk/wp-content/uploads/2020/12/7nutrition-whey-isolate-500g-protein-6pack-supplements.jpg,7nutrition-whey-isolate-90-500g,https://6pack-supplements.co.uk/product/whey-isolate-90-500g-7nutrition/,https://6pack-supplements.co.uk/product/whey-isolate-90-500g-7nutrition/,,23.99,true,4.99,true,true,500,g,Raspberry,powder,1,2026-07-27T15:01:32.161Z,,"{""Flavours"":""Raspberry""}",954,1991
6 Pack Supplements,https://6pack-supplements.co.uk,4005,4342,7Nutrition Whey Isolate 90 500g,Banana / 500g,7Nutrition,Whey Protein,,https://6pack-supplements.co.uk/wp-content/uploads/2020/12/7nutrition-whey-isolate-500g-protein-6pack-supplements.jpg,7nutrition-whey-isolate-90-500g,https://6pack-supplements.co.uk/product/whey-isolate-90-500g-7nutrition/,https://6pack-supplements.co.uk/product/whey-isolate-90-500g-7nutrition/,,23.99,true,4.99,true,true,500,g,Banana,powder,1,2026-07-27T15:01:32.161Z,,"{""Flavours"":""Banana""}",954,1992
6 Pack Supplements,https://6pack-supplements.co.uk,4005,4344,7Nutrition Whey Isolate 90 500g,Cookies & Cream / 500g,7Nutrition,Whey Protein,,https://6pack-supplements.co.uk/wp-content/uploads/2020/12/7nutrition-whey-isolate-500g-protein-6pack-supplements.jpg,7nutrition-whey-isolate-90-500g,https://6pack-supplements.co.uk/product/whey-isolate-90-500g-7nutrition/,https://6pack-supplements.co.uk/product/whey-isolate-90-500g-7nutrition/,,23.99,true,4.99,false,true,500,g,Cookies & Cream,powder,1,2026-07-27T15:01:32.161Z,,"{""Flavours"":""Cookie with cream""}",954,1857
6 Pack Supplements,https://6pack-supplements.co.uk,6303,6307,Applied Nutrition BCAA Amino Hydrate 450g,Ice Blue Razz / 450g,Applied Nutrition,Amino Acids,,https://6pack-supplements.co.uk/wp-content/uploads/2021/04/bcaa-amino-hydrate-Applied-Nutrition-6pack-supplements.jpg,applied-nutrition-bcaa-amino-hydrate-450g,https://6pack-supplements.co.uk/product/bcaa-amino-hydrate-450g-applied-nutrition/,https://6pack-supplements.co.uk/product/bcaa-amino-hydrate-450g-applied-nutrition/,,24.99,true,4.99,true,true,450,g,Ice Blue Razz,powder,1,2026-07-27T15:01:32.351Z,,"{""Retailer Flavour"":""Icy Blue Raz""}",37,741
6 Pack Supplements,https://6pack-supplements.co.uk,8237,29418,GYM HIGH Mass Gainer 2100g,Banana Split / 2100g,GYM HIGH,Mass Gainer,,https://6pack-supplements.co.uk/wp-content/uploads/2022/03/gym-high-mass-gainer-protein-muscles-6pack-supplements.jpg,gym-high-mass-gainer-2100g,https://6pack-supplements.co.uk/product/joker-urban-lean-mass-gainer-5kg/,https://6pack-supplements.co.uk/product/joker-urban-lean-mass-gainer-5kg/,,29.99,true,4.99,true,true,2100,g,Banana Split,powder,1,2026-07-27T15:01:32.561Z,,"{""Flavours"":""Banana Split""}",403,956
6 Pack Supplements,https://6pack-supplements.co.uk,8237,29421,GYM HIGH Mass Gainer 2100g,Belgian Chocolate / 2.1kg,GYM HIGH,Mass Gainer,,https://6pack-supplements.co.uk/wp-content/uploads/2022/03/gym-high-mass-gainer-protein-muscles-6pack-supplements.jpg,gym-high-mass-gainer-2100g,https://6pack-supplements.co.uk/product/joker-urban-lean-mass-gainer-5kg/,https://6pack-supplements.co.uk/product/joker-urban-lean-mass-gainer-5kg/,,29.99,true,4.99,true,true,2100,g,Belgian Chocolate,powder,1,2026-07-27T15:01:32.561Z,,"{""Flavours"":""Belgian Chocolate""}",403,1046
