retailer_name,retailer_website,external_product_id,external_variant_id,product_name,variant_name,brand,category,description,image,slug,external_url,affiliate_url,external_gtin,price,shipping_known,shipping_cost,in_stock,is_for_sale,size,size_unit,flavour,product_format,pack_count,source_updated_at,external_sku,external_options,product_id,product_variant_id
6 Pack Supplements,https://6pack-supplements.co.uk,11471,11471,7Nutrition Creatine Monohydrate 500g,Unflavoured / 500g,7Nutrition,Creatine,,https://6pack-supplements.co.uk/wp-content/uploads/2022/06/7nutition_creatine_mass_size_strenght_6pack_supplements.jpg,7nutrition-creatine-monohydrate-500g,https://6pack-supplements.co.uk/product/7nutrition-creatine-monohydrate-unflavored-500g/,https://6pack-supplements.co.uk/product/7nutrition-creatine-monohydrate-unflavored-500g/,,30.00,true,4.99,true,true,500,g,Unflavoured,powder,1,2026-07-27T18:25:52.132Z,5903111089085,"{""Flavour"":""Unflavoured"",""Retailer Flavour"":""Unflavoured""}",769,
6 Pack Supplements,https://6pack-supplements.co.uk,2814,2814,BioTech USA 100% L-Glutamine 500g,Default,BioTech USA,Amino Acids,,https://6pack-supplements.co.uk/wp-content/uploads/2020/10/BioTechUSA-_100_L-GLUTAMINE.jpg,biotech-usa-100-l-glutamine-500g,https://6pack-supplements.co.uk/product/biotechusa-100-l-glutamine/,https://6pack-supplements.co.uk/product/biotechusa-100-l-glutamine/,,24.99,true,4.99,false,true,,,,,1,2026-07-27T18:25:54.097Z,5999076204311,{},34,28
6 Pack Supplements,https://6pack-supplements.co.uk,3899,3899,7Nutrition Zinc Citrate 100 Capsules,Default,7Nutrition,Vitamins,,https://6pack-supplements.co.uk/wp-content/uploads/2020/12/zinc-7nutrition-15mg-6pack-supplements.jpg,7nutrition-zinc-citrate-100-capsules,https://6pack-supplements.co.uk/product/7nutrition-zinc-citrate-15mg-100caps/,https://6pack-supplements.co.uk/product/7nutrition-zinc-citrate-15mg-100caps/,,8.99,true,4.99,true,true,,,,capsule,1,2026-07-27T18:25:56.032Z,5901597314660,{},955,1862
6 Pack Supplements,https://6pack-supplements.co.uk,4108,4108,7Nutrition Probiotic Pro 24 30 Capsules,Default,7Nutrition,Vitamins,,https://6pack-supplements.co.uk/wp-content/uploads/2020/12/priobiotic-7nutrition-6pack-supplements-guts.jpg,7nutrition-probiotic-pro-24-30-capsules,https://6pack-supplements.co.uk/product/7-nutrition-probiotic-pro-24-30caps/,https://6pack-supplements.co.uk/product/7-nutrition-probiotic-pro-24-30caps/,,22.00,true,4.99,true,true,,,,,1,2026-07-27T18:25:56.864Z,5901597314585,{},141,128
6 Pack Supplements,https://6pack-supplements.co.uk,4586,4586,Himalaya Liv.52 100 Tablets,Default,Himalaya,Vitamins,,https://6pack-supplements.co.uk/wp-content/uploads/2021/01/Himalaya-liv52-DS_2000x.png,himalaya-liv52-100-tablets,https://6pack-supplements.co.uk/product/himalaya-liv-52-100tabl/,https://6pack-supplements.co.uk/product/himalaya-liv-52-100tabl/,,7.00,true,4.99,true,true,,,,,1,2026-07-27T18:25:58.702Z,901138110710,{},139,142
6 Pack Supplements,https://6pack-supplements.co.uk,4621,4621,7Nutrition MCT Oil 400ml,Default,7Nutrition,Health Supplements,,https://6pack-supplements.co.uk/wp-content/uploads/2021/01/eng_pl_7Nutrition-MCT-Oil-400ml-2530_1.jpg,7nutrition-mct-oil-400ml,https://6pack-supplements.co.uk/product/7nutition-mct-oil-400-ml/,https://6pack-supplements.co.uk/product/7nutition-mct-oil-400-ml/,,12.99,true,4.99,true,true,,,,,1,2026-07-27T18:26:14.277Z,5901597314233,{},98,82
6 Pack Supplements,https://6pack-supplements.co.uk,4665,4665,BioTech USA Ashwagandha 60 Caps,Default,BioTech USA,Vitamins,,https://6pack-supplements.co.uk/wp-content/uploads/2021/01/ashwagandha-biotechusa-6pack-supplements.jpg,biotech-usa-ashwagandha-60-caps,https://6pack-supplements.co.uk/product/biotechusa-ashwagandha-60-caps/,https://6pack-supplements.co.uk/product/biotechusa-ashwagandha-60-caps/,,10.00,true,4.99,true,true,,,,,1,2026-07-27T18:26:16.546Z,5999076236572,{},402,528
6 Pack Supplements,https://6pack-supplements.co.uk,4874,4874,CNP Creatine Monohydrate 250g,Unflavoured / 250g,CNP,Creatine,,https://6pack-supplements.co.uk/wp-content/uploads/2021/02/6pack_supplements_creatine_monohydrate_muscle_siez_muscle_grow.jpg,cnp-creatine-monohydrate-250g,https://6pack-supplements.co.uk/product/cnp-creatine-monohydrate-powder-250g/,https://6pack-supplements.co.uk/product/cnp-creatine-monohydrate-powder-250g/,,15.00,true,4.99,true,true,250,g,Unflavoured,powder,1,2026-07-27T18:26:17.446Z,50605473145546,"{""Flavour"":""Unflavoured"",""Retailer Flavour"":""Unflavoured""}",407,
6 Pack Supplements,https://6pack-supplements.co.uk,69085,69085,Applied Nutrition Creatine Monohydrate 250g,Unflavoured / 250g,Applied Nutrition,Creatine,,https://6pack-supplements.co.uk/wp-content/uploads/2026/04/126.jpg,applied-nutrition-creatine-monohydrate-250g,https://6pack-supplements.co.uk/product/applied-nutrition-creatine-monohydrate-powder-250g/,https://6pack-supplements.co.uk/product/applied-nutrition-creatine-monohydrate-powder-250g/,5056555206218,12.00,true,4.99,true,true,250,g,Unflavoured,powder,1,2026-07-27T18:26:18.197Z,5056555206218,"{""Flavour"":""Unflavoured"",""Retailer Flavour"":""Unflavoured""}",742,799
6 Pack Supplements,https://6pack-supplements.co.uk,8300,29718,CNP Professional Full Tilt V2 Stim Pre Workout 570g,Blue Razz Riot / 570g,CNP,Pre Workout,,https://6pack-supplements.co.uk/wp-content/uploads/2022/03/full-tilt-v2-pre-workout-cnp-6pack-supplements.jpg,cnp-professional-full-tilt-v2-stim-pre-workout-570g,https://6pack-supplements.co.uk/product/cnp-full-tilt-v2-pre-workout-570g-30-servings/,https://6pack-supplements.co.uk/product/cnp-full-tilt-v2-pre-workout-570g-30-servings/,,23.99,true,4.99,true,true,570,g,Blue Razz Riot,powder,1,2026-07-27T18:26:19.037Z,,"{""Flavour"":""Blue Razz Riot"",""Retailer Flavour"":""Razz Riot""}",899,1488
