retailer_name,retailer_website,external_product_id,external_variant_id,product_name,variant_name,brand,category,description,image,slug,external_url,affiliate_url,external_gtin,price,shipping_known,shipping_cost,in_stock,is_for_sale,size,size_unit,flavour,product_format,pack_count,source_updated_at
Fit House,https://fithouse.uk,9678096761072,48135749271792,"Swanson Valerian, Chamomile & Hops 60 Capsules",Default,Swanson,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Venlectin.jpg?v=1759768058,swanson-valerian-chamomile-hops-60-capsules,https://fithouse.uk/products/swanson-valerian-chamomile-hops-60-caps?variant=48135749271792,https://fithouse.uk/products/swanson-valerian-chamomile-hops-60-caps?variant=48135749271792,,19.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,9680364208368,48142829453552,Now Foods DIM Diindolylmethane 90 Capsules,Default,Now Foods,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/photo_e401d412-58b8-428c-8c0c-58d5c84e1d84.jpg?v=1759917606,now-foods-dim-diindolylmethane-90-capsules,https://fithouse.uk/products/now-foods-dim-diindolylmethane-90-vege-caps?variant=48142829453552,https://fithouse.uk/products/now-foods-dim-diindolylmethane-90-vege-caps?variant=48142829453552,,22.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,9680391831792,48142863401200,Now Foods Chaste Berry Vitex Extract 300mg 90 Capsules,Default,Now Foods,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/photo_2.jpg?v=1759918683,now-foods-chaste-berry-vitex-extract-300mg-90-capsules,https://fithouse.uk/products/now-foods-chaste-berry-vitex-extract-300-mg-90-vege-caps?variant=48142863401200,https://fithouse.uk/products/now-foods-chaste-berry-vitex-extract-300-mg-90-vege-caps?variant=48142863401200,,15.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,9706776264944,48219037106416,Swanson L-Tyrosine 500mg 100 Capsules,Default,Swanson,Amino Acids,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/photo_f8c50b9c-4837-4ec3-bf1f-18a2e7eb598e.jpg?v=1761749006,swanson-l-tyrosine-500mg-100-capsules,https://fithouse.uk/products/swanson-l-tyrosine-500mg-100-caps?variant=48219037106416,https://fithouse.uk/products/swanson-l-tyrosine-500mg-100-caps?variant=48219037106416,,6.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,9706779279600,48219074199792,Osavi Lion's Mane 600mg 60 Capsules,Default,Osavi,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_1_bf32a65b-21cd-4066-a7f5-ec5058d7e42e.jpg?v=1782993814,osavi-lions-mane-600mg-60-capsules,https://fithouse.uk/products/osavi-lions-mane-600mg-60-vegan-caps?variant=48219074199792,https://fithouse.uk/products/osavi-lions-mane-600mg-60-vegan-caps?variant=48219074199792,,14.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,9710810628336,48227374006512,OstroVit Bacopa Monnieri 90 Capsules,Default,OstroVit,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/photo_1_d661b45b-f664-4dd8-b16c-bf9e78059072.jpg?v=1761844146,ostrovit-bacopa-monnieri-90-capsules,https://fithouse.uk/products/bacopa-monnieri-90-caps?variant=48227374006512,https://fithouse.uk/products/bacopa-monnieri-90-caps?variant=48227374006512,,9.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,10019820470512,49715305840880,OstroVit Electrolytes Orange 20 Effervescent Tablets,Default,OstroVit,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_2_b7a62b6e-bedd-46c8-a97c-28d2ab0f40a2.jpg?v=1778508331,ostrovit-electrolytes-orange-20-effervescent-tablets,https://fithouse.uk/products/ostrovit-electrolytes-20-effervescent-tablets?variant=49715305840880,https://fithouse.uk/products/ostrovit-electrolytes-20-effervescent-tablets?variant=49715305840880,,3.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,10024895742192,49735378960624,OstroVit Creatine Monohydrate 400 Capsules,Default,OstroVit,Creatine,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_bb2f7380-c52b-407a-af6b-fc28beef57ff.jpg?v=1778943521,ostrovit-creatine-monohydrate-400-capsules,https://fithouse.uk/products/ostrovit-creatine-monohydrate-400-caps?variant=49735378960624,https://fithouse.uk/products/ostrovit-creatine-monohydrate-400-caps?variant=49735378960624,,24.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,10028457820400,49744956850416,Mutant Creakong Advanced Creatine 1kg,Default,Mutant,Creatine,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_4.png?v=1779191606,mutant-creakong-advanced-creatine-1kg,https://fithouse.uk/products/mutant-creakong-advanced-creatine-1kg?variant=49744956850416,https://fithouse.uk/products/mutant-creakong-advanced-creatine-1kg?variant=49744956850416,,26.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,10028467093744,49744981426416,PER4M Micronised Creatine 150g,Default,Per4m,Creatine,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_6.png?v=1779192431,per4m-micronised-creatine-150g,https://fithouse.uk/products/per4m-micronised-creatine-150g?variant=49744981426416,https://fithouse.uk/products/per4m-micronised-creatine-150g?variant=49744981426416,,7.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,10034753143024,49768736948464,Doctor's Best Pure Collagen Peptides 417g,Default,Doctor's Best,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_5aaf36e0-f09a-488b-8a2a-abd48c902627.jpg?v=1779874927,doctors-best-pure-collagen-peptides-417g,https://fithouse.uk/products/doctors-best-pure-collagen-peptides-417g?variant=49768736948464,https://fithouse.uk/products/doctors-best-pure-collagen-peptides-417g?variant=49768736948464,,44.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,10079982584048,49957954257136,Osavi Super Strong Omega 3 500 EPA 250 DHA 90 Softgels,Default,Osavi,Vitamins,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_45775208-6ce4-4fdc-b392-8d1a679af776.jpg?v=1782919705,osavi-super-strong-omega-3-500-epa-250-dha-90-softgels,https://fithouse.uk/products/osavi-super-strong-omega-3-500-epa-250-dha-90-softgels?variant=49957954257136,https://fithouse.uk/products/osavi-super-strong-omega-3-500-epa-250-dha-90-softgels?variant=49957954257136,,29.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,10079982944496,49957958156528,Osavi Super Strong Omega 3 500 EPA 250 DHA 60 Softgels,Default,Osavi,Vitamins,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_2_30951143-4598-480e-8dac-fed56f6c7ce2.jpg?v=1782920422,osavi-super-strong-omega-3-500-epa-250-dha-60-softgels,https://fithouse.uk/products/osavi-super-strong-omega-3-500-epa-250-dha-60-softgels?variant=49957958156528,https://fithouse.uk/products/osavi-super-strong-omega-3-500-epa-250-dha-60-softgels?variant=49957958156528,,19.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,10081661419760,49962294247664,Osavi Vitamin K2 MK-7 100mcg 60 Softgels,Default,Osavi,Vitamins,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_1_df2b944e-3a03-4a2a-bc79-e32024d8891a.jpg?v=1782996838,osavi-vitamin-k2-mk-7-100mcg-60-softgels,https://fithouse.uk/products/osavi-vitamin-k2-mk-7-100-μg-60-softgels?variant=49962294247664,https://fithouse.uk/products/osavi-vitamin-k2-mk-7-100-μg-60-softgels?variant=49962294247664,,9.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
