retailer_name,retailer_website,product_id,product_variant_id,external_product_id,external_variant_id,external_sku,external_options,product_name,variant_name,brand,category,description,image,slug,external_url,affiliate_url,external_gtin,price,shipping_known,shipping_cost,total_price,in_stock,is_for_sale,size,size_unit,flavour,product_format,pack_count,source_updated_at
Fit House,https://fithouse.uk,,,10033449271536,49764030906608,,"{""Flavor"":""pineapple & mango""}",Osavi Collagen & Electrolytes 30 Servings,pineapple & mango / 30servings,Osavi,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_1_dfd89a89-96fa-4e5a-8a91-93584381f093.jpg?v=1779727641,osavi-collagen-and-electrolytes-30-servings,https://fithouse.uk/products/osavi-collagen-electrolytes-30-servings?variant=49764030906608,https://fithouse.uk/products/osavi-collagen-electrolytes-30-servings?variant=49764030906608,,29.99,true,3.99,33.98,true,true,30,servings,pineapple & mango,powder,1,2026-07-15T13:20:04+01:00
Fit House,https://fithouse.uk,756,,10043011399920,49791502352624,,"{""Flavours"":""Cobra Ki""}",10X Athletic PUMP Non-Stim Pre Workout 50 servings,Cobra Ki / 50servings,10X Athletic,Pre Workout,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_4_dfde6053-d39a-4958-9d55-37c2f669cbd6.png?v=1780407230,10x-athletic-pump-non-stim-pre-workout-50-servings,https://fithouse.uk/products/10x-athletic-pump-non-stim-pre-workout-50-servings?variant=49791502352624,https://fithouse.uk/products/10x-athletic-pump-non-stim-pre-workout-50-servings?variant=49791502352624,,39.99,true,3.99,43.98,false,true,50,servings,Cobra Ki,powder,1,2026-07-15T13:20:04+01:00
Fit House,https://fithouse.uk,,,10043065172208,49791610257648,,"{""Flavour"":""Peach Mango""}",Neutonic Nootropic Focus Blend Powder Sachets 16 Servings,Peach Mango / 16servings,Neutonic,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitled_design_13.png?v=1780414214,neutonic-nootropic-focus-blend-powder-sachets-16-servings,https://fithouse.uk/products/neutonic-nootropic-focus-blend-powder-sachets-16-servings?variant=49791610257648,https://fithouse.uk/products/neutonic-nootropic-focus-blend-powder-sachets-16-servings?variant=49791610257648,,24.99,true,3.99,28.98,true,true,16,servings,Peach Mango,powder,1,2026-07-15T13:20:04+01:00
Fit House,https://fithouse.uk,,,10043065172208,49791610290416,,"{""Flavour"":""Wild Berry""}",Neutonic Nootropic Focus Blend Powder Sachets 16 Servings,Wild Berry / 16servings,Neutonic,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_14_64eed95b-0d93-4a51-b9c4-d6266db855ab.png?v=1780414306,neutonic-nootropic-focus-blend-powder-sachets-16-servings,https://fithouse.uk/products/neutonic-nootropic-focus-blend-powder-sachets-16-servings?variant=49791610290416,https://fithouse.uk/products/neutonic-nootropic-focus-blend-powder-sachets-16-servings?variant=49791610290416,,24.99,true,3.99,28.98,true,true,16,servings,Wild Berry,powder,1,2026-07-15T13:20:04+01:00
Fit House,https://fithouse.uk,,,8142828896496,43567036858608,20,{},MetaHuman Elite Vitamins 120 Capsules,Default,MetaHuman,Vitamins,,https://cdn.shopify.com/s/files/1/0661/8202/1360/products/vitamins.jpg?v=1665831796,metahuman-elite-vitamins-120-capsules,https://fithouse.uk/products/metahuman-elite-vitamins-120-caps?variant=43567036858608,https://fithouse.uk/products/metahuman-elite-vitamins-120-caps?variant=43567036858608,,19.99,true,3.99,23.98,false,true,,,,,,2026-07-15T13:20:04+01:00
Fit House,https://fithouse.uk,,,8144512745712,43571891831024,,"{""1800g 51 Portions"":""Strawberry 1800g""}",Olimp Whey Protein Complex 100% 1800–2270g,Strawberry / 1800g,Olimp,Whey Protein,,https://cdn.shopify.com/s/files/1/0661/8202/1360/products/Untitleddesign_2.jpg?v=1666015306,olimp-whey-protein-complex-100-1800-2270g,https://fithouse.uk/products/olimp-whey-protein-complex-100-1800-g?variant=43571891831024,https://fithouse.uk/products/olimp-whey-protein-complex-100-1800-g?variant=43571891831024,,49.99,true,3.99,53.98,true,true,1800,g,Strawberry,powder,1,2026-07-15T13:20:04+01:00
Fit House,https://fithouse.uk,,,8144512745712,43571891929328,,"{""1800g 51 Portions"":""Blueberry 1800g""}",Olimp Whey Protein Complex 100% 1800–2270g,Blueberry / 1800g,Olimp,Whey Protein,,https://cdn.shopify.com/s/files/1/0661/8202/1360/products/Untitleddesign_2.jpg?v=1666015306,olimp-whey-protein-complex-100-1800-2270g,https://fithouse.uk/products/olimp-whey-protein-complex-100-1800-g?variant=43571891929328,https://fithouse.uk/products/olimp-whey-protein-complex-100-1800-g?variant=43571891929328,,49.99,true,3.99,53.98,true,true,1800,g,Blueberry,powder,1,2026-07-15T13:20:04+01:00
Fit House,https://fithouse.uk,,,8144512745712,43816860909808,,"{""1800g 51 Portions"":""Peanut Butter 1800g""}",Olimp Whey Protein Complex 100% 1800–2270g,Peanut Butter / 1800g,Olimp,Whey Protein,,https://cdn.shopify.com/s/files/1/0661/8202/1360/products/Untitleddesign_2.jpg?v=1666015306,olimp-whey-protein-complex-100-1800-2270g,https://fithouse.uk/products/olimp-whey-protein-complex-100-1800-g?variant=43816860909808,https://fithouse.uk/products/olimp-whey-protein-complex-100-1800-g?variant=43816860909808,,49.99,true,3.99,53.98,false,true,1800,g,Peanut Butter,powder,1,2026-07-15T13:20:04+01:00
Fit House,https://fithouse.uk,,,8144512745712,44122716045552,,"{""1800g 51 Portions"":""Apple Pie 1800g""}",Olimp Whey Protein Complex 100% 1800–2270g,Apple Pie / 1800g,Olimp,Whey Protein,,https://cdn.shopify.com/s/files/1/0661/8202/1360/products/Untitleddesign_2.jpg?v=1666015306,olimp-whey-protein-complex-100-1800-2270g,https://fithouse.uk/products/olimp-whey-protein-complex-100-1800-g?variant=44122716045552,https://fithouse.uk/products/olimp-whey-protein-complex-100-1800-g?variant=44122716045552,,49.99,true,3.99,53.98,false,true,1800,g,Apple Pie,powder,1,2026-07-15T13:20:04+01:00
Fit House,https://fithouse.uk,,,8144512745712,44147173720304,,"{""1800g 51 Portions"":""Chocolate 1800g""}",Olimp Whey Protein Complex 100% 1800–2270g,Chocolate / 1800g,Olimp,Whey Protein,,https://cdn.shopify.com/s/files/1/0661/8202/1360/products/Untitleddesign_2.jpg?v=1666015306,olimp-whey-protein-complex-100-1800-2270g,https://fithouse.uk/products/olimp-whey-protein-complex-100-1800-g?variant=44147173720304,https://fithouse.uk/products/olimp-whey-protein-complex-100-1800-g?variant=44147173720304,,49.99,true,3.99,53.98,false,true,1800,g,Chocolate,powder,1,2026-07-15T13:20:04+01:00
