retailer_name,retailer_website,product_id,product_variant_id,external_product_id,external_variant_id,external_sku,product_name,variant_name,brand,category,slug,external_url,affiliate_url,external_gtin,external_options,price,shipping_known,shipping_cost,in_stock,is_for_sale,image,size,size_unit,flavour,pack_count,product_format
"eBay UK","https://www.ebay.co.uk","423","1840","134544280111","v1|134544280111|434047778882","","Applied Nutrition Cream Of Rice 2kg","Unflavoured / 2kg","Applied Nutrition","Health Supplements","applied-nutrition-cream-of-rice-2kg","https://www.ebay.co.uk/itm/134544280111?var=434047778882","https://www.ebay.co.uk/itm/134544280111?var=434047778882&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&toolid=10050","5056555200759","{""Size"":""2000g"",""Flavour"":""Unflavoured""}","19.85","true","0.00","true","true","https://i.ebayimg.com/images/g/W-MAAOSwgwRn~3Az/s-l1600.jpg","2000","g","Unflavoured","1","powder"
"eBay UK","https://www.ebay.co.uk","750","859","134958705150","v1|134958705150|434408005073","","Applied Nutrition Critical Plant Protein 1.8kg","Chocolate / 1.8kg","Applied Nutrition","Whey Protein","applied-nutrition-critical-plant-protein-1-8kg","https://www.ebay.co.uk/itm/134958705150?var=434408005073","https://www.ebay.co.uk/itm/134958705150?var=434408005073&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&toolid=10050","5056555205693","{""Size"":""1800g"",""Flavour"":""Chocolate""}","35.95","true","0.00","true","true","https://i.ebayimg.com/images/g/KukAAOSwSc5l4dFJ/s-l1600.jpg","1800","g","Chocolate","1","powder"
"eBay UK","https://www.ebay.co.uk","748","844","136417907667","v1|136417907667|435227077948","","Applied Nutrition Beef Mass Gainer 3.13kg","Frozen Berries / 3.13kg","Applied Nutrition","Mass Gainer","applied-nutrition-beef-mass-gainer-3-13kg","https://www.ebay.co.uk/itm/136417907667?var=435227077948","https://www.ebay.co.uk/itm/136417907667?var=435227077948&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&toolid=10050","5056555210062","{""Size"":""3130g"",""Flavour"":""Frozen Berries""}","49.95","true","0.00","true","true","https://i.ebayimg.com/images/g/TXUAAeSwCpRoupjc/s-l1600.jpg","3130","g","Frozen Berries","1","powder"
"eBay UK","https://www.ebay.co.uk","748","846","136417907667","v1|136417907667|435227077952","","Applied Nutrition Beef Mass Gainer 3.13kg","Tropical Vibes / 3.13kg","Applied Nutrition","Mass Gainer","applied-nutrition-beef-mass-gainer-3-13kg","https://www.ebay.co.uk/itm/136417907667?var=435227077952","https://www.ebay.co.uk/itm/136417907667?var=435227077952&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&toolid=10050","5056555210109","{""Size"":""3130g"",""Flavour"":""Tropical Vibes""}","49.95","true","0.00","true","true","https://i.ebayimg.com/images/g/~~oAAeSwgOFouqG6/s-l1600.jpg","3130","g","Tropical Vibes","1","powder"
"eBay UK","https://www.ebay.co.uk","1100","2387","134969867983","v1|134969867983|434417692669","","Applied Nutrition Critical Oats Protein Porridge 600g","Cookies & Cream / 600g","Applied Nutrition","Protein Powder","applied-nutrition-critical-oats-protein-porridge-600g","https://www.ebay.co.uk/itm/134969867983?var=434417692669","https://www.ebay.co.uk/itm/134969867983?var=434417692669&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&toolid=10050","5056555205785","{""Size"":""600g"",""Flavour"":""Cookies & Cream""}","15.95","true","0.00","true","true","https://i.ebayimg.com/images/g/WgYAAOSw8w9l6vr-/s-l1600.jpg","600","g","Cookies & Cream","1","powder"
"eBay UK","https://www.ebay.co.uk","1100","2497","134969867983","v1|134969867983|434417692667","","Applied Nutrition Critical Oats Protein Porridge 600g","Chocolate / 600g","Applied Nutrition","Protein Powder","applied-nutrition-critical-oats-protein-porridge-600g","https://www.ebay.co.uk/itm/134969867983?var=434417692667","https://www.ebay.co.uk/itm/134969867983?var=434417692667&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&toolid=10050","5056555205778","{""Size"":""600g"",""Flavour"":""Chocolate""}","15.95","true","0.00","true","true","https://i.ebayimg.com/images/g/CH8AAOSwWRll6vrm/s-l1600.jpg","600","g","Chocolate","1","powder"
"eBay UK","https://www.ebay.co.uk","1100","2498","134969867983","v1|134969867983|434417692668","","Applied Nutrition Critical Oats Protein Porridge 600g","Golden Syrup / 600g","Applied Nutrition","Protein Powder","applied-nutrition-critical-oats-protein-porridge-600g","https://www.ebay.co.uk/itm/134969867983?var=434417692668","https://www.ebay.co.uk/itm/134969867983?var=434417692668&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&toolid=10050","5056555205853","{""Size"":""600g"",""Flavour"":""Golden Syrup""}","15.95","true","0.00","true","true","https://i.ebayimg.com/images/g/27wAAOSwObll6vsX/s-l1600.jpg","600","g","Golden Syrup","1","powder"
"eBay UK","https://www.ebay.co.uk","1126","2459","134504071381","v1|134504071381|433990375237","","Applied Nutrition High Protein Shake 500ml","Double Chocolate / 8-Pack / 500ml","Applied Nutrition","Protein Powder","applied-nutrition-high-protein-shake-500ml","https://www.ebay.co.uk/itm/134504071381?var=433990375237","https://www.ebay.co.uk/itm/134504071381?var=433990375237&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&toolid=10050","5056555200483","{""Size"":""500ml"",""Flavour"":""Double Chocolate"",""Pack"":""8""}","24.95","true","0.00","true","true","https://i.ebayimg.com/images/g/XccAAOSwkFRoPbAL/s-l1600.jpg","500","ml","Double Chocolate","8","ready-to-drink"
"eBay UK","https://www.ebay.co.uk","1126","2461","134504071381","v1|134504071381|433990375234","","Applied Nutrition High Protein Shake 500ml","Strawberries & Cream / 8-Pack / 500ml","Applied Nutrition","Protein Powder","applied-nutrition-high-protein-shake-500ml","https://www.ebay.co.uk/itm/134504071381?var=433990375234","https://www.ebay.co.uk/itm/134504071381?var=433990375234&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&toolid=10050","5056555200490","{""Size"":""500ml"",""Flavour"":""Strawberries & Cream"",""Pack"":""8""}","24.95","true","0.00","true","true","https://i.ebayimg.com/images/g/aqwAAOSwp3poPbBK/s-l1600.jpg","500","ml","Strawberries & Cream","8","ready-to-drink"
"eBay UK","https://www.ebay.co.uk","1126","2463","134504071381","v1|134504071381|433990375233","","Applied Nutrition High Protein Shake 500ml","Vanilla Ice Cream / 8-Pack / 500ml","Applied Nutrition","Protein Powder","applied-nutrition-high-protein-shake-500ml","https://www.ebay.co.uk/itm/134504071381?var=433990375233","https://www.ebay.co.uk/itm/134504071381?var=433990375233&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&toolid=10050","5056555200506","{""Size"":""500ml"",""Flavour"":""Vanilla Ice Cream"",""Pack"":""8""}","24.95","true","0.00","true","true","https://i.ebayimg.com/images/g/CBIAAOSwmg5oPbEm/s-l1600.jpg","500","ml","Vanilla Ice Cream","8","ready-to-drink"
"eBay UK","https://www.ebay.co.uk","1126","2465","134504071381","v1|134504071381|433990375235","","Applied Nutrition High Protein Shake 500ml","Banana Delight / 8-Pack / 500ml","Applied Nutrition","Protein Powder","applied-nutrition-high-protein-shake-500ml","https://www.ebay.co.uk/itm/134504071381?var=433990375235","https://www.ebay.co.uk/itm/134504071381?var=433990375235&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&toolid=10050","5056555200469","{""Size"":""500ml"",""Flavour"":""Banana Delight"",""Pack"":""8""}","24.95","true","0.00","true","true","https://i.ebayimg.com/images/g/6XAAAOSw40RoPa7F/s-l1600.jpg","500","ml","Banana Delight","8","ready-to-drink"
