retailer_name,retailer_website,product_id,product_variant_id,external_product_id,external_variant_id,external_sku,product_name,variant_name,brand,category,slug,external_url,affiliate_url,external_gtin,external_options,price,shipping_known,shipping_cost,in_stock,is_for_sale,image,size,size_unit,flavour,pack_count,product_format
"eBay UK","https://www.ebay.co.uk","482","1697","227339481787","v1|227339481787|526541736174","","JNX Sports The Curse 250g","Blue Raspberry / 250g","JNX Sports","Pre Workout","jnx-sports-the-curse-250g","https://www.ebay.co.uk/itm/227339481787?var=526541736174","https://www.ebay.co.uk/itm/227339481787?var=526541736174&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","609728302412","{""Size"":""250g"",""Flavour"":""Blue Raspberry""}","25.79","true","3.99","true","true","https://cdn.shopify.com/s/files/1/0571/9752/7133/files/image_2020-01-15_5e1f17123a665.jpg","250","g","Blue Raspberry","1","powder"
"eBay UK","https://www.ebay.co.uk","482","1698","227339481787","v1|227339481787|526541736170","","JNX Sports The Curse 250g","Fruit Punch / 250g","JNX Sports","Pre Workout","jnx-sports-the-curse-250g","https://www.ebay.co.uk/itm/227339481787?var=526541736170","https://www.ebay.co.uk/itm/227339481787?var=526541736170&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","797776113477","{""Size"":""250g"",""Flavour"":""Fruit Punch""}","25.79","true","3.99","true","true","https://cdn.shopify.com/s/files/1/0571/9752/7133/files/image_2024-02-01_65bb569d72e11.jpg","250","g","Fruit Punch","1","powder"
"eBay UK","https://www.ebay.co.uk","93","1011","227339480945","v1|227339480945|526541656197","","JNX Sports The Ripper Fat Burner Powder 150g","Fruit Punch / 150g","JNX Sports","Weight Management","jnx-sports-the-ripper-fat-burner-powder-150g","https://www.ebay.co.uk/itm/227339480945?var=526541656197","https://www.ebay.co.uk/itm/227339480945?var=526541656197&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","797776113620","{""Size"":""150g"",""Flavour"":""Fruit Punch""}","23.34","true","3.99","true","true","https://cdn.shopify.com/s/files/1/0571/9752/7133/files/image_2024-04-11_66179481f1f23.jpg","150","g","Fruit Punch","1","powder"
"eBay UK","https://www.ebay.co.uk","93","1638","227339480945","v1|227339480945|526541656195","","JNX Sports The Ripper Fat Burner Powder 150g","Blue Raspberry / 150g","JNX Sports","Weight Management","jnx-sports-the-ripper-fat-burner-powder-150g","https://www.ebay.co.uk/itm/227339480945?var=526541656195","https://www.ebay.co.uk/itm/227339480945?var=526541656195&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","797776113583","{""Size"":""150g"",""Flavour"":""Blue Raspberry""}","23.34","true","3.99","true","true","https://cdn.shopify.com/s/files/1/0571/9752/7133/files/image_2024-04-11_66179481f1f23.jpg","150","g","Blue Raspberry","1","powder"
"eBay UK","https://www.ebay.co.uk","93","1639","227339480945","v1|227339480945|526541656194","","JNX Sports The Ripper Fat Burner Powder 150g","Pineapple Shred / 150g","JNX Sports","Weight Management","jnx-sports-the-ripper-fat-burner-powder-150g","https://www.ebay.co.uk/itm/227339480945?var=526541656194","https://www.ebay.co.uk/itm/227339480945?var=526541656194&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","799439644854","{""Size"":""150g"",""Flavour"":""Pineapple Shred""}","23.34","true","3.99","true","true","https://cdn.shopify.com/s/files/1/0571/9752/7133/files/image_2021-07-28_6100f7fb8571b.jpg","150","g","Pineapple Shred","1","powder"
"eBay UK","https://www.ebay.co.uk","93","1640","227339480945","v1|227339480945|526541656193","","JNX Sports The Ripper Fat Burner Powder 150g","Raspberry Lemonade / 150g","JNX Sports","Weight Management","jnx-sports-the-ripper-fat-burner-powder-150g","https://www.ebay.co.uk/itm/227339480945?var=526541656193","https://www.ebay.co.uk/itm/227339480945?var=526541656193&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","797776113408","{""Size"":""150g"",""Flavour"":""Raspberry Lemonade""}","23.34","true","3.99","true","true","https://cdn.shopify.com/s/files/1/0571/9752/7133/files/image_2024-04-11_66179481f1f23.jpg","150","g","Raspberry Lemonade","1","powder"
"eBay UK","https://www.ebay.co.uk","93","1641","227339480945","v1|227339480945|526541656192","","JNX Sports The Ripper Fat Burner Powder 150g","Razor Lime / 150g","JNX Sports","Weight Management","jnx-sports-the-ripper-fat-burner-powder-150g","https://www.ebay.co.uk/itm/227339480945?var=526541656192","https://www.ebay.co.uk/itm/227339480945?var=526541656192&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","680569883247","{""Size"":""150g"",""Flavour"":""Razor Lime""}","23.34","true","3.99","true","true","https://cdn.shopify.com/s/files/1/0571/9752/7133/files/17c4d173178a20d33703f2c0a88a3536.jpg","150","g","Razor Lime","1","powder"
"eBay UK","https://www.ebay.co.uk","93","1643","227339480945","v1|227339480945|526541656198","","JNX Sports The Ripper Fat Burner Powder 150g","Blood Orange / 150g","JNX Sports","Weight Management","jnx-sports-the-ripper-fat-burner-powder-150g","https://www.ebay.co.uk/itm/227339480945?var=526541656198","https://www.ebay.co.uk/itm/227339480945?var=526541656198&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","799439599055","{""Size"":""150g"",""Flavour"":""Blood Orange""}","23.34","true","3.99","true","true","https://cdn.shopify.com/s/files/1/0571/9752/7133/files/image_2019-11-18_5dd274fc8d6e1.jpg","150","g","Blood Orange","1","powder"
"eBay UK","https://www.ebay.co.uk","222","752","227319961531","v1|227319961531|526525449487","","Mutant Mass 6.8kg","Chocolate Fudge Brownie / 6800g","Mutant","Health Supplements","mutant-mass-6-8kg","https://www.ebay.co.uk/itm/227319961531?var=526525449487","https://www.ebay.co.uk/itm/227319961531?var=526525449487&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","627933026954","{""Size"":""6800g"",""Flavour"":""Chocolate Fudge Brownie""}","83.59","true","3.99","true","true","https://cdn.shopify.com/s/files/1/0571/9752/7133/files/image_2022-08-09_62f226e4370b9.jpg","6800","g","Chocolate Fudge Brownie","1","powder"
"eBay UK","https://www.ebay.co.uk","222","755","227319961531","v1|227319961531|526525449491","","Mutant Mass 6.8kg","Triple Chocolate / 6800g","Mutant","Health Supplements","mutant-mass-6-8kg","https://www.ebay.co.uk/itm/227319961531?var=526525449491","https://www.ebay.co.uk/itm/227319961531?var=526525449491&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","627933026565","{""Size"":""6800g"",""Flavour"":""Triple Chocolate""}","83.59","true","3.99","true","true","https://cdn.shopify.com/s/files/1/0571/9752/7133/files/image_2022-08-11_62f4b861da10f.jpg","6800","g","Triple Chocolate","1","powder"
