retailer_name,retailer_website,product_id,product_variant_id,external_product_id,external_variant_id,external_sku,product_name,variant_name,brand,category,slug,external_url,affiliate_url,external_gtin,external_options,price,shipping_known,shipping_cost,in_stock,is_for_sale,image,size,size_unit,flavour,pack_count,product_format
"eBay UK","https://www.ebay.co.uk","71","1625","394018039646","v1|394018039646|662564730389","","BioTech USA Vegan Protein 500g","Banana / 500g","BioTech USA","Whey Protein","biotech-usa-vegan-protein-500g","https://www.ebay.co.uk/itm/394018039646?var=662564730389","https://www.ebay.co.uk/itm/394018039646?var=662564730389&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5999076234813","{""Size"":""500g"",""Flavour"":""Banana""}","19.99","true","0.00","true","true","https://i.ebayimg.com/images/g/qYoAAeSw40tpauQN/s-l1600.jpg","500","g","Banana","1","powder"
"eBay UK","https://www.ebay.co.uk","19","769","256978504929","v1|256978504929|557601659147","","Dorian Yates Blood & Guts Pre Workout 380g","Strawberry / 380g","Dorian Yates","Pre Workout","dorian-yates-blood--guts-pre-workout-380g","https://www.ebay.co.uk/itm/256978504929?var=557601659147","https://www.ebay.co.uk/itm/256978504929?var=557601659147&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5060763890428","{""Size"":""380g"",""Flavour"":""Strawberry""}","21.95","true","3.95","true","true","https://cdn.shopify.com/s/files/1/0737/5572/1994/files/dy-blood-guts-strawberry.jpg?v=1755874346","380","g","Strawberry","1","powder"
"eBay UK","https://www.ebay.co.uk","528","1848","145921318153","v1|145921318153|444963406170","","Nutrend  Pump Pre-Workout","Bubble Gum / 225g","Nutrend","Pre Workout","nutrend--pump-pre-workout","https://www.ebay.co.uk/itm/145921318153?var=444963406170","https://www.ebay.co.uk/itm/145921318153?var=444963406170&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","8594073170453","{""Size"":""225g"",""Flavour"":""Bubble Gum""}","18.10","true","0.00","true","true","https://www.powerbody.co.uk/media/catalog/product/ebay/auction_image_2024-01-31_65ba106850853.jpg","225","g","Bubble Gum","1","powder"
"eBay UK","https://www.ebay.co.uk","36","1595","143513790155","v1|143513790155|445757979940","","Applied Nutrition Amino Fuel EAA 390g","Millions Pineapple / 390g","Applied Nutrition","Amino Acids","applied-nutrition-amino-fuel-eaa-390g","https://www.ebay.co.uk/itm/143513790155?var=445757979940","https://www.ebay.co.uk/itm/143513790155?var=445757979940&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5056555210772","{""Size"":""390g"",""Flavour"":""Millions Pineapple""}","23.95","true","0.00","true","true","https://i.ebayimg.com/images/g/CS4AAeSwUKBqJ0mP/s-l1600.jpg","390","g","Millions Pineapple","1","powder"
"eBay UK","https://www.ebay.co.uk","93","1642","177952936229","v1|177952936229|477482944161","","JNX Sports The Ripper Fat Burner Powder 150g","Watermelon Candy / 150g","JNX Sports","Weight Management","jnx-sports-the-ripper-fat-burner-powder-150g","https://www.ebay.co.uk/itm/177952936229?var=477482944161","https://www.ebay.co.uk/itm/177952936229?var=477482944161&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","799439599079","{""Size"":""150g"",""Flavour"":""Watermelon Candy""}","26.80","true","0.00","true","true","https://i.ebayimg.com/images/g/cYEAAeSwJ9Npsvr-/s-l1600.jpg","150","g","Watermelon Candy","1","powder"
"eBay UK","https://www.ebay.co.uk","220","1810","404774853352","v1|404774853352|674791941889","","HR Labs Basic 510g","Peach Ice-T O.G. / 510g","HR Labs","Health Supplements","hr-labs-basic-510g","https://www.ebay.co.uk/itm/404774853352?var=674791941889","https://www.ebay.co.uk/itm/404774853352?var=674791941889&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5060662330155","{""Size"":""510g"",""Flavour"":""Peach Ice-T O.G.""}","36.99","true","0.00","true","true","https://i.ebayimg.com/images/g/yTsAAeSwbHlpa12j/s-l1600.jpg","510","g","Peach Ice-T O.G.","1","powder"
"eBay UK","https://www.ebay.co.uk","788","1073","326796105372","v1|326796105372|516023060149","","Per4m EAA Xtra 420g","Blackberry / 420g","Per4m","Amino Acids","per4m-eaa-xtra-420g","https://www.ebay.co.uk/itm/326796105372?var=516023060149","https://www.ebay.co.uk/itm/326796105372?var=516023060149&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5061097261892","{""Size"":""420g"",""Flavour"":""Blackberry""}","25.99","true","0.00","true","true","https://i.ebayimg.com/images/g/k50AAeSw3y1o29e-/s-l1600.jpg","420","g","Blackberry","1","powder"
"eBay UK","https://www.ebay.co.uk","112","1012","267459060041","v1|267459060041|567236756567","","5% Nutrition Rich Piana  All Day You May 465g","Blue Raspberry / 465g","5% Nutrition","Amino Acids","5-nutrition-rich-piana--all-day-you-may-465g","https://www.ebay.co.uk/itm/267459060041?var=567236756567","https://www.ebay.co.uk/itm/267459060041?var=567236756567&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","850006755561","{""Size"":""465g"",""Flavour"":""Blue Raspberry""}","33.99","true","5.49","true","true","https://i.ebayimg.com/images/g/KB4AAeSw9JlpChk1/s-l1600.jpg","465","g","Blue Raspberry","1","powder"
"eBay UK","https://www.ebay.co.uk","166","1759","227482554146","v1|227482554146|526660766785","","Clif Bar Energy Bar 12x68g","Chocolate Chip / 68g","Clif","Protein Bars","clif-bar-energy-bar-12x68g","https://www.ebay.co.uk/itm/227482554146?var=526660766785","https://www.ebay.co.uk/itm/227482554146?var=526660766785&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","722252387486","{""Size"":""68g"",""Flavour"":""Chocolate Chip""}","26.16","true","3.99","true","true","https://cdn.shopify.com/s/files/1/0571/9752/7133/files/CLI002_12b0654c-6a7c-4aa3-9067-28ae01b625b5.png","68","g","Chocolate Chip","12","snack"
"eBay UK","https://www.ebay.co.uk","166","1761","227482554146","v1|227482554146|526660766784","","Clif Bar Energy Bar 12x68g","White Chocolate Macadamia / 68g","Clif","Protein Bars","clif-bar-energy-bar-12x68g","https://www.ebay.co.uk/itm/227482554146?var=526660766784","https://www.ebay.co.uk/itm/227482554146?var=526660766784&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","722252387585","{""Size"":""68g"",""Flavour"":""White Chocolate Macadamia""}","26.16","true","3.99","true","true","https://cdn.shopify.com/s/files/1/0571/9752/7133/files/CLI003_d970ac70-4be5-4a9b-9748-e647328d7042.png","68","g","White Chocolate Macadamia","12","snack"
