retailer_name,retailer_website,product_id,product_variant_id,external_product_id,external_variant_id,external_sku,product_name,variant_name,brand,category,slug,external_url,affiliate_url,external_gtin,external_options,price,shipping_known,shipping_cost,in_stock,is_for_sale,image,size,size_unit,flavour,pack_count,product_format
"eBay UK","https://www.ebay.co.uk","27","1589","373707858011","v1|373707858011|642746534509","","Cellucor C4 Original 195g","Orange / 195g","Cellucor","Pre Workout","cellucor-c4-original-195g","https://www.ebay.co.uk/itm/373707858011?var=642746534509","https://www.ebay.co.uk/itm/373707858011?var=642746534509&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","842595109078","{""Size"":""195g"",""Flavour"":""Orange""}","19.99","true","0.00","true","true","https://i.ebayimg.com/images/g/u9MAAOSwCoVhMmTH/s-l1600.jpg","195","g","Orange","1","powder"
"eBay UK","https://www.ebay.co.uk","788","1075","326796105372","v1|326796105372|515780120440","","Per4m EAA Xtra 420g","Cherry Fizz / 420g","Per4m","Amino Acids","per4m-eaa-xtra-420g","https://www.ebay.co.uk/itm/326796105372?var=515780120440","https://www.ebay.co.uk/itm/326796105372?var=515780120440&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5061097260659","{""Size"":""420g"",""Flavour"":""Cherry Fizz""}","25.99","true","0.00","true","true","https://i.ebayimg.com/images/g/k50AAeSw3y1o29e-/s-l1600.jpg","420","g","Cherry Fizz","1","powder"
"eBay UK","https://www.ebay.co.uk","1033","2162","325388861371","v1|325388861371|0","","BiotechUSA MULTI MINERAL COMPLEX 100tabs","Unflavoured / 100 tablets","BioTech USA","Vitamins","biotechusa-multi-mineral-complex-100tabs","https://www.ebay.co.uk/itm/325388861371","https://www.ebay.co.uk/itm/325388861371?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Flavour"":""Unflavoured""}","10.49","true","0.00","true","true","https://i.ebayimg.com/images/g/tZYAAOSwhGhjT54G/s-l1600.jpg","","","Unflavoured","1","tablet"
"eBay UK","https://www.ebay.co.uk","294","1774","325909654165","v1|325909654165|514958463842","","BioTech USA Black Blood CAF+ 300g","Blueberry / 300g","BioTech USA","Pre Workout","biotech-usa-black-blood-caf-300g","https://www.ebay.co.uk/itm/325909654165?var=514958463842","https://www.ebay.co.uk/itm/325909654165?var=514958463842&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5999076253678","{""Size"":""300g"",""Flavour"":""Blueberry""}","23.49","true","0.00","true","true","https://i.ebayimg.com/images/g/xk8AAOSw~jtlab21/s-l1600.jpg","300","g","Blueberry","1","powder"
"eBay UK","https://www.ebay.co.uk","295","1777","325526875626","v1|325526875626|514560046967","","BioTech USA Black Blood NOX+ 330g","Tropical Fruit / 330g","BioTech USA","Pre Workout","biotech-usa-black-blood-nox-330g","https://www.ebay.co.uk/itm/325526875626?var=514560046967","https://www.ebay.co.uk/itm/325526875626?var=514560046967&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5999076232369","{""Size"":""330g"",""Flavour"":""Tropical Fruit""}","26.99","true","0.00","true","true","https://i.ebayimg.com/images/g/ZxIAAOSw7R1j4mgX/s-l1600.jpg","330","g","Tropical Fruit","1","powder"
"eBay UK","https://www.ebay.co.uk","791","1138","327069519328","v1|327069519328|0","","Per4m Creatine Capsules | 30 Servings","Default","PER4M","Creatine","per4m-creatine-capsules-30-servings","https://www.ebay.co.uk/itm/327069519328","https://www.ebay.co.uk/itm/327069519328?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5061097260697","{""Variant"":""Default""}","13.99","true","0.00","true","true","https://i.ebayimg.com/images/g/6x0AAeSwSVZpxSdi/s-l1600.jpg","","","","1","capsule"
"eBay UK","https://www.ebay.co.uk","796","1143","327060659620","v1|327060659620|0","","Per4m Advanced Curcumin | 60 Capsules","Default","PER4M","Health Supplements","per4m-advanced-curcumin-60-capsules","https://www.ebay.co.uk/itm/327060659620","https://www.ebay.co.uk/itm/327060659620?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5061097260673","{""Variant"":""Default""}","19.49","true","0.00","true","true","https://i.ebayimg.com/images/g/TXQAAeSw4oFpvpWx/s-l1600.jpg","","","","1","capsule"
"eBay UK","https://www.ebay.co.uk","799","1146","327060632207","v1|327060632207|0","","Per4m Advanced Omega 3 | 90 Softgels","Default","PER4M","Health Supplements","per4m-advanced-omega-3-90-softgels","https://www.ebay.co.uk/itm/327060632207","https://www.ebay.co.uk/itm/327060632207?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5060660084463","{""Variant"":""Default""}","16.99","true","0.00","true","true","https://i.ebayimg.com/images/g/IwYAAeSw4R1pvpDw/s-l1600.jpg","","","","1","softgel"
"eBay UK","https://www.ebay.co.uk","800","1147","327062344315","v1|327062344315|0","","Per4m D3 & K2 120 Tablets","Default","PER4M","Health Supplements","per4m-d3-and-k2-120-tablets","https://www.ebay.co.uk/itm/327062344315","https://www.ebay.co.uk/itm/327062344315?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5060660084265","{""Variant"":""Default""}","14.99","true","0.00","true","true","https://i.ebayimg.com/images/g/5MIAAeSwUoFpv9q-/s-l1600.jpg","","","","1","tablet"
"eBay UK","https://www.ebay.co.uk","882","1396","326584491660","v1|326584491660|515650737150","","PER4M Energy Pre Workout 390g","Cherry Fizz / 390g","PER4M","Pre Workout","per4m-energy-pre-workout-390g","https://www.ebay.co.uk/itm/326584491660?var=515650737150","https://www.ebay.co.uk/itm/326584491660?var=515650737150&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5060660086825","{""Size"":""390g"",""Flavour"":""Cherry Fizz""}","22.49","true","0.00","true","true","https://i.ebayimg.com/images/g/5eMAAOSwDp5oJ3v0/s-l1600.jpg","390","g","Cherry Fizz","1","powder"
