retailer_name,retailer_website,product_id,product_variant_id,external_product_id,external_variant_id,external_sku,product_name,variant_name,brand,category,slug,external_url,affiliate_url,external_gtin,external_options,price,shipping_known,shipping_cost,in_stock,is_for_sale,image,size,size_unit,flavour,pack_count,product_format
"eBay UK","https://www.ebay.co.uk","27","1590","373707858011","v1|373707858011|642746534514","","Cellucor C4 Original 195g","Pink Lemonade / 195g","Cellucor","Pre Workout","cellucor-c4-original-195g","https://www.ebay.co.uk/itm/373707858011?var=642746534514","https://www.ebay.co.uk/itm/373707858011?var=642746534514&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","842595109153","{""Size"":""195g"",""Flavour"":""Pink Lemonade""}","19.99","true","0.00","true","true","https://i.ebayimg.com/images/g/u9MAAOSwCoVhMmTH/s-l1600.jpg","195","g","Pink Lemonade","1","powder"
"eBay UK","https://www.ebay.co.uk","90","24","298602193517","v1|298602193517|0","","Nutrex Lipo 6 Black Ultra Concentrate 60 Caps","Default","Nutrex","Health Supplements","nutrex-lipo-6-black-ultra-concentrate-60-caps","https://www.ebay.co.uk/itm/298602193517","https://www.ebay.co.uk/itm/298602193517?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Variant"":""Default""}","22.00","true","0.00","true","true","https://i.ebayimg.com/images/g/vqMAAeSw69pqhgkH/s-l1600.jpg","","","","1",""
"eBay UK","https://www.ebay.co.uk","139","142","178337400684","v1|178337400684|477710042215","","Himalaya Liv.52 100 Tablets","Default","Himalaya","Vitamins","himalaya-liv52-100-tablets","https://www.ebay.co.uk/itm/178337400684?var=477710042215","https://www.ebay.co.uk/itm/178337400684?var=477710042215&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Variant"":""Default""}","8.49","true","0.00","true","true","https://i.ebayimg.com/images/g/iUgAAeSwYwRqYg0z/s-l1600.jpg","","","","1",""
"eBay UK","https://www.ebay.co.uk","379","313","227339481459","v1|227339481459|0","","Swanson Phosphatidylserine 100mg 30 Softgels","Default","Swanson","Health Supplements","swanson-phosphatidylserine-100mg-30-softgels","https://www.ebay.co.uk/itm/227339481459","https://www.ebay.co.uk/itm/227339481459?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Variant"":""Default""}","10.00","true","3.99","true","true","https://i.ebayimg.com/images/g/C-EAAeSwN8dqAa9B/s-l1600.jpg","","","","1",""
"eBay UK","https://www.ebay.co.uk","499","469","388831629571","v1|388831629571|0","","Olimp Nutrition DAA Xtreme Prolact-Block - 60 tablets","Default","Olimp","Health Supplements","olimp-nutrition-daa-xtreme-prolact-block---60-tablets","https://www.ebay.co.uk/itm/388831629571","https://www.ebay.co.uk/itm/388831629571?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Variant"":""Default""}","18.95","true","0.00","true","true","https://i.ebayimg.com/images/g/SGoAAeSwHwxonJK9/s-l1600.jpg","","","","1",""
"eBay UK","https://www.ebay.co.uk","683","544","387049058279","v1|387049058279|0","","Osavi Super Strong Omega 3 500 EPA 250 DHA 60 Softgels","Default","Osavi","Vitamins","osavi-super-strong-omega-3-500-epa-250-dha-60-softgels","https://www.ebay.co.uk/itm/387049058279","https://www.ebay.co.uk/itm/387049058279?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Variant"":""Default""}","21.15","true","0.00","true","true","https://i.ebayimg.com/images/g/4zgAAOSweepmWzdq/s-l1600.jpg","","","","1","softgel"
"eBay UK","https://www.ebay.co.uk","684","545","386965889328","v1|386965889328|0","","Osavi Vitamin K2 MK-7 100mcg 60 Softgels","Default","Osavi","Vitamins","osavi-vitamin-k2-mk-7-100mcg-60-softgels","https://www.ebay.co.uk/itm/386965889328","https://www.ebay.co.uk/itm/386965889328?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Variant"":""Default""}","12.69","true","0.00","true","true","https://i.ebayimg.com/images/g/olYAAOSwp9ZmLkZV/s-l1600.jpg","","","","1","softgel"
"eBay UK","https://www.ebay.co.uk","703","579","385435605679","v1|385435605679|0","","Doctor's Best Vitamin D3 5000 IU 180 Softgels","Default","Doctor's Best","Vitamins","doctors-best-vitamin-d3-5000-iu-180-softgels","https://www.ebay.co.uk/itm/385435605679","https://www.ebay.co.uk/itm/385435605679?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Variant"":""Default""}","13.55","true","0.00","true","true","https://i.ebayimg.com/images/g/8LAAAOSwHJhj9ory/s-l1600.jpg","","","","1","softgel"
"eBay UK","https://www.ebay.co.uk","707","583","355703763092","v1|355703763092|0","","Swanson Triphala 500mg 100 Capsules","Default","Swanson","Health Supplements","swanson-triphala-500mg-100-capsules","https://www.ebay.co.uk/itm/355703763092","https://www.ebay.co.uk/itm/355703763092?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Variant"":""Default""}","10.59","true","0.00","true","true","https://i.ebayimg.com/images/g/GeUAAOSwmwFmPjAE/s-l1600.jpg","","","","1","capsule"
"eBay UK","https://www.ebay.co.uk","720","599","388955605779","v1|388955605779|0","","Now Foods Collagen Peptides Powder 227g","Default","NOW Foods","Health Supplements","now-foods-collagen-peptides-powder-227g","https://www.ebay.co.uk/itm/388955605779","https://www.ebay.co.uk/itm/388955605779?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Variant"":""Default""}","19.15","true","0.00","true","true","https://i.ebayimg.com/images/g/lwQAAeSw5T5owssV/s-l1600.jpg","","","","1","powder"
"eBay UK","https://www.ebay.co.uk","741","615","134979307941","v1|134979307941|0","","Swanson Full Spectrum Passion Flower 500mg 60 Capsules","Default","Swanson","Health Supplements","swanson-full-spectrum-passion-flower-500mg-60-capsules","https://www.ebay.co.uk/itm/134979307941","https://www.ebay.co.uk/itm/134979307941?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Variant"":""Default""}","10.89","true","0.00","true","true","https://i.ebayimg.com/images/g/QWYAAOSwIhtl9Eyv/s-l1600.jpg","","","","1","capsule"
"eBay UK","https://www.ebay.co.uk","788","1076","227221196528","v1|227221196528|0","","Per4m EAA Xtra 420g","Lemon Lime Splash / 420g","Per4m","Amino Acids","per4m-eaa-xtra-420g","https://www.ebay.co.uk/itm/227221196528","https://www.ebay.co.uk/itm/227221196528?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Size"":""420g"",""Flavour"":""Lemon Lime Splash""}","23.56","true","3.99","true","true","https://i.ebayimg.com/images/g/D6YAAeSwMdhplLZf/s-l1600.jpg","420","g","Lemon Lime Splash","1","powder"
"eBay UK","https://www.ebay.co.uk","807","1154","389455624589","v1|389455624589|0","","Trained by JP Ashwagandha 60 caps","Default","Trained By JP","Health Supplements","trained-by-jp-ashwagandha-60-caps","https://www.ebay.co.uk/itm/389455624589","https://www.ebay.co.uk/itm/389455624589?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Variant"":""Default""}","18.19","true","0.00","true","true","https://i.ebayimg.com/images/g/a88AAeSwOA1pWyJM/s-l1600.jpg","","","","1","capsule"
"eBay UK","https://www.ebay.co.uk","808","1155","227315398173","v1|227315398173|0","","Trained By JP D3 & K2 60 Caps","Default","Trained By JP","Health Supplements","trained-by-jp-d3-and-k2-60-caps","https://www.ebay.co.uk/itm/227315398173","https://www.ebay.co.uk/itm/227315398173?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Variant"":""Default""}","18.01","true","3.99","true","true","https://i.ebayimg.com/images/g/~0cAAeSwaZBp66Fz/s-l1600.jpg","","","","1","capsule"
"eBay UK","https://www.ebay.co.uk","810","1157","389883997981","v1|389883997981|0","","Trained By JP Iron 60 Capsules","Default","Trained By JP","Health Supplements","trained-by-jp-iron-60-capsules","https://www.ebay.co.uk/itm/389883997981","https://www.ebay.co.uk/itm/389883997981?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Variant"":""Default""}","15.23","true","0.00","true","true","https://i.ebayimg.com/images/g/tO4AAeSwYytp3JaJ/s-l1600.jpg","","","","1","capsule"
"eBay UK","https://www.ebay.co.uk","811","1158","387996845027","v1|387996845027|0","","Trained By JP Love Heart 60 Caps","Default","Trained By JP","Health Supplements","trained-by-jp-love-heart-60-caps","https://www.ebay.co.uk/itm/387996845027","https://www.ebay.co.uk/itm/387996845027?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Variant"":""Default""}","39.19","true","0.00","true","true","https://i.ebayimg.com/images/g/SsYAAeSw~mpnvand/s-l1600.jpg","","","","1","capsule"
"eBay UK","https://www.ebay.co.uk","925","1531","178337337530","v1|178337337530|477710015241","","Himalaya Liv.52 DS 60 Tablets","Default","Himalaya","Health Supplements","himalaya-liv-52-ds-60-tablets","https://www.ebay.co.uk/itm/178337337530?var=477710015241","https://www.ebay.co.uk/itm/178337337530?var=477710015241&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Variant"":""Default""}","22.99","true","0.00","true","true","https://i.ebayimg.com/images/g/Zw4AAeSwpwZqYgXl/s-l1600.jpg","","","","1","tablet"
"eBay UK","https://www.ebay.co.uk","1105","2397","286736755888","v1|286736755888|588764980609","","Trec Nutrition Clenburexin 180 Capsules","Unflavoured / 180 capsules","Trec Nutrition","Fat Burners","trec-nutrition-clenburexin-180-capsules","https://www.ebay.co.uk/itm/286736755888?var=588764980609","https://www.ebay.co.uk/itm/286736755888?var=588764980609&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Flavour"":""Unflavoured""}","28.38","true","0.00","true","true","https://i.ebayimg.com/images/g/RQYAAeSw-D5oiKrS/s-l1600.jpg","","","Unflavoured","1","capsule"
"eBay UK","https://www.ebay.co.uk","1139","2491","227339481966","v1|227339481966|526541813994","","Trec Nutrition Clenburexin 90 Capsules","Unflavoured / 90 capsules","Trec Nutrition","Fat Burners","trec-nutrition-clenburexin-90-capsules","https://www.ebay.co.uk/itm/227339481966?var=526541813994","https://www.ebay.co.uk/itm/227339481966?var=526541813994&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Flavour"":""Unflavoured""}","17.43","true","3.99","true","true","https://cdn.shopify.com/s/files/1/0571/9752/7133/files/image_2020-09-24_5f6c85186fbf2.jpg","","","Unflavoured","1","capsule"
