retailer_name,retailer_website,product_id,product_variant_id,external_product_id,external_variant_id,external_sku,product_name,variant_name,brand,category,slug,external_url,affiliate_url,external_gtin,external_options,price,shipping_known,shipping_cost,in_stock,is_for_sale,image,size,size_unit,flavour,pack_count,product_format
"eBay UK","https://www.ebay.co.uk","10","1707","323304007010","v1|323304007010|515705810399","","BioTech USA Iso Whey Zero 1816g","Salted Caramel / 1.816kg","BioTech USA","Whey Protein","biotech-usa-iso-whey-zero-1816g","https://www.ebay.co.uk/itm/323304007010?var=515705810399","https://www.ebay.co.uk/itm/323304007010?var=515705810399&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5999076263943","{""Size"":""1816g"",""Flavour"":""Salted Caramel""}","77.99","true","0.00","true","true","https://i.ebayimg.com/images/g/HIUAAOSwaRles8os/s-l1600.jpg","1816","g","Salted Caramel","1","powder"
"eBay UK","https://www.ebay.co.uk","10","1712","323304007010","v1|323304007010|515706626595","","BioTech USA Iso Whey Zero 1816g","Dark Chocolate / 1.816kg","BioTech USA","Whey Protein","biotech-usa-iso-whey-zero-1816g","https://www.ebay.co.uk/itm/323304007010?var=515706626595","https://www.ebay.co.uk/itm/323304007010?var=515706626595&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Size"":""1816g"",""Flavour"":""Dark Chocolate""}","77.99","true","0.00","true","true","https://i.ebayimg.com/images/g/HIUAAOSwaRles8os/s-l1600.jpg","1816","g","Dark Chocolate","1","powder"
"eBay UK","https://www.ebay.co.uk","14","1726","323304007010","v1|323304007010|512439794894","","BioTech USA Iso Whey Zero 908g","Coconut / 908g","BioTech USA","Whey Protein","biotech-usa-iso-whey-zero-908g","https://www.ebay.co.uk/itm/323304007010?var=512439794894","https://www.ebay.co.uk/itm/323304007010?var=512439794894&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Size"":""908g"",""Flavour"":""Coconut""}","42.49","true","0.00","true","true","https://i.ebayimg.com/images/g/HIUAAOSwaRles8os/s-l1600.jpg","908","g","Coconut","1","powder"
"eBay UK","https://www.ebay.co.uk","14","1728","323304007010","v1|323304007010|512439794895","","BioTech USA Iso Whey Zero 908g","Lemon Cheesecake / 908g","BioTech USA","Whey Protein","biotech-usa-iso-whey-zero-908g","https://www.ebay.co.uk/itm/323304007010?var=512439794895","https://www.ebay.co.uk/itm/323304007010?var=512439794895&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Size"":""908g"",""Flavour"":""Lemon Cheesecake""}","42.49","true","0.00","true","true","https://i.ebayimg.com/images/g/HIUAAOSwaRles8os/s-l1600.jpg","908","g","Lemon Cheesecake","1","powder"
"eBay UK","https://www.ebay.co.uk","14","1729","323304007010","v1|323304007010|512439794893","","BioTech USA Iso Whey Zero 908g","Pineapple Mango / 908g","BioTech USA","Whey Protein","biotech-usa-iso-whey-zero-908g","https://www.ebay.co.uk/itm/323304007010?var=512439794893","https://www.ebay.co.uk/itm/323304007010?var=512439794893&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Size"":""908g"",""Flavour"":""Pineapple Mango""}","42.49","true","0.00","true","true","https://i.ebayimg.com/images/g/HIUAAOSwaRles8os/s-l1600.jpg","908","g","Pineapple Mango","1","powder"
"eBay UK","https://www.ebay.co.uk","328","1825","237003103152","v1|237003103152|537411952150","","Per4m Isolate Zero 900g","Salted Caramel / 900g","Per4m","Health Supplements","per4m-isolate-zero-900g","https://www.ebay.co.uk/itm/237003103152?var=537411952150","https://www.ebay.co.uk/itm/237003103152?var=537411952150&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Size"":""900g"",""Flavour"":""Salted Caramel""}","42.90","true","0.00","true","true","https://i.ebayimg.com/images/g/T9sAAeSw6qlqfY4D/s-l1600.jpg","900","g","Salted Caramel","1","powder"
"eBay UK","https://www.ebay.co.uk","328","1826","237003103152","v1|237003103152|537411952155","","Per4m Isolate Zero 900g","White Chocolate / 900g","Per4m","Health Supplements","per4m-isolate-zero-900g","https://www.ebay.co.uk/itm/237003103152?var=537411952155","https://www.ebay.co.uk/itm/237003103152?var=537411952155&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Size"":""900g"",""Flavour"":""White Chocolate""}","42.90","true","0.00","true","true","https://i.ebayimg.com/images/g/du0AAeSw7DdqfY40/s-l1600.jpg","900","g","White Chocolate","1","powder"
"eBay UK","https://www.ebay.co.uk","7","1571","198228877102","v1|198228877102|497356872935","","Optimum Nutrition Gold Standard 100% Whey 2.27kg","Extreme Milk Chocolate / 2kg","Optimum Nutrition","Whey Protein","optimum-nutrition-gold-standard-whey-2-27kg","https://www.ebay.co.uk/itm/198228877102?var=497356872935","https://www.ebay.co.uk/itm/198228877102?var=497356872935&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Size"":""2000g"",""Flavour"":""Extreme Milk Chocolate""}","78.99","true","0.00","true","true","https://i.ebayimg.com/images/g/eQQAAeSwb1Zpxaub/s-l1600.jpg","2000","g","Extreme Milk Chocolate","1","powder"
"eBay UK","https://www.ebay.co.uk","77","1632","354815561341","v1|354815561341|624134728913","","Boditronics Diet Whey 900g","Strawberries and Cream / 900g","Boditronics","Whey Protein","boditronics-diet-whey-900g","https://www.ebay.co.uk/itm/354815561341?var=624134728913","https://www.ebay.co.uk/itm/354815561341?var=624134728913&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Size"":""900g"",""Flavour"":""Strawberries and Cream""}","26.29","true","0.00","true","true","https://i.ebayimg.com/images/g/rW4AAOSwD7pkdHgb/s-l1600.jpg","900","g","Strawberries and Cream","1","powder"
"eBay UK","https://www.ebay.co.uk","361","1694","165609827880","v1|165609827880|0","","Trec CM3 Creatine Powder 250g","Pink Grapefruit / 250g","Trec Nutrition","Creatine","trec-cm3-creatine-powder-250g","https://www.ebay.co.uk/itm/165609827880","https://www.ebay.co.uk/itm/165609827880?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5902114017743","{""Size"":""250g"",""Flavour"":""Pink Grapefruit""}","18.49","true","0.00","true","true","https://i.ebayimg.com/images/g/SUMAAeSwsUhqJ-yH/s-l1600.jpg","250","g","Pink Grapefruit","1","powder"
