retailer_name,retailer_website,product_id,product_variant_id,external_product_id,external_variant_id,external_sku,product_name,variant_name,brand,category,slug,external_url,affiliate_url,external_gtin,external_options,price,shipping_known,shipping_cost,in_stock,is_for_sale,image,size,size_unit,flavour,pack_count,product_format
"eBay UK","https://www.ebay.co.uk","89","69","188822153425","v1|188822153425|0","","PEScience TruCreatine+ Powder 161g","Default","PEScience","Creatine","pescience-trucreatine-powder-161g","https://www.ebay.co.uk/itm/188822153425","https://www.ebay.co.uk/itm/188822153425?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","040232543340","{""Variant"":""Default""}","30.28","true","0.00","true","true","https://i.ebayimg.com/images/g/iYAAAeSwu3ZqhvuB/s-l1600.jpg","","","","1","powder"
"eBay UK","https://www.ebay.co.uk","24","1582","317649344086","v1|317649344086|0","","PEScience Prolific 280g","Guava Pineapple Punch / 280g","PEScience","Pre Workout","pescience-prolific-280g","https://www.ebay.co.uk/itm/317649344086","https://www.ebay.co.uk/itm/317649344086?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","810011190399","{""Size"":""280g"",""Flavour"":""Guava Pineapple Punch""}","33.89","true","0.00","true","true","https://i.ebayimg.com/images/g/HDQAAeSwdkBqA0sn/s-l1600.jpg","280","g","Guava Pineapple Punch","1","powder"
"eBay UK","https://www.ebay.co.uk","273","900","406895062062","v1|406895062062|677104093499","","Applied Nutrition ABE - Energy RTD Drink","Cloudy Lemonade / 330ml","Applied Nutrition","Health Supplements","applied-nutrition-abe---energy-rtd-drink","https://www.ebay.co.uk/itm/406895062062?var=677104093499","https://www.ebay.co.uk/itm/406895062062?var=677104093499&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5056555203279","{""Size"":""330ml"",""Flavour"":""Cloudy Lemonade""}","28.99","true","0.00","true","true","https://i.ebayimg.com/images/g/9LkAAeSwGTpqBz9A/s-l1600.jpg","330","ml","Cloudy Lemonade","1","ready_to_drink"
"eBay UK","https://www.ebay.co.uk","273","1815","137252056707","v1|137252056707|435559918149","","Applied Nutrition ABE - Energy RTD Drink","Blue Lagoon / 330ml","Applied Nutrition","Health Supplements","applied-nutrition-abe---energy-rtd-drink","https://www.ebay.co.uk/itm/137252056707?var=435559918149","https://www.ebay.co.uk/itm/137252056707?var=435559918149&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5056555203262","{""Size"":""330ml"",""Flavour"":""Blue Lagoon""}","21.95","true","0.00","true","true","https://i.ebayimg.com/images/g/664AAeSwfqVp6qzf/s-l1600.jpg","330","ml","Blue Lagoon","1","liquid"
"eBay UK","https://www.ebay.co.uk","273","1816","137252056707","v1|137252056707|435559918150","","Applied Nutrition ABE - Energy RTD Drink","Fruit Candy / 330ml","Applied Nutrition","Health Supplements","applied-nutrition-abe---energy-rtd-drink","https://www.ebay.co.uk/itm/137252056707?var=435559918150","https://www.ebay.co.uk/itm/137252056707?var=435559918150&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5056555203293","{""Size"":""330ml"",""Flavour"":""Fruit Candy""}","21.95","true","0.00","true","true","https://i.ebayimg.com/images/g/-4kAAeSwHQBp6qzT/s-l1600.jpg","330","ml","Fruit Candy","1","liquid"
"eBay UK","https://www.ebay.co.uk","273","1819","137252056707","v1|137252056707|435559918154","","Applied Nutrition ABE - Energy RTD Drink","Cherry Slushie / 330ml","Applied Nutrition","Health Supplements","applied-nutrition-abe---energy-rtd-drink","https://www.ebay.co.uk/itm/137252056707?var=435559918154","https://www.ebay.co.uk/itm/137252056707?var=435559918154&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5056555209394","{""Size"":""330ml"",""Flavour"":""Cherry Slushie""}","21.95","true","0.00","true","true","https://i.ebayimg.com/images/g/cLUAAeSwPY9p6qyp/s-l1600.jpg","330","ml","Cherry Slushie","1","liquid"
"eBay UK","https://www.ebay.co.uk","468","2710","406431647826","v1|406431647826|676750282319","","Critical Cookie 12 x 73g","Salted Caramel Box of 12 / 73g","Applied Nutrition","Protein Bars","critical-cookie-12-x-85g","https://www.ebay.co.uk/itm/406431647826?var=676750282319","https://www.ebay.co.uk/itm/406431647826?var=676750282319&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5056555201084","{""Size"":""73g"",""Flavour"":""Salted Caramel""}","24.19","true","3.99","true","true","https://cdn.shopify.com/s/files/1/0710/8932/4300/files/IMG-5417.jpg?v=1716579736","73","g","Salted Caramel","12","snack"
"eBay UK","https://www.ebay.co.uk","788","1080","267461430373","v1|267461430373|567539198324","","Per4m EAA Xtra 420g","Rainbow Candy / 420g","Per4m","Amino Acids","per4m-eaa-xtra-420g","https://www.ebay.co.uk/itm/267461430373?var=567539198324","https://www.ebay.co.uk/itm/267461430373?var=567539198324&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5061097263926","{""Size"":""420g"",""Flavour"":""Rainbow Candy""}","23.95","true","3.95","true","true","https://cdn.shopify.com/s/files/1/0737/5572/1994/files/per4m-eaa-xtra-rainbow-candy.jpg?v=1784729752","420","g","Rainbow Candy","1","powder"
"eBay UK","https://www.ebay.co.uk","1077","2317","355909580184","v1|355909580184|0","","7Nutrition Cream Crunch 750g","Coconut / 750g","7Nutrition","Protein Bars","7nutrition-cream-crunch-750g","https://www.ebay.co.uk/itm/355909580184","https://www.ebay.co.uk/itm/355909580184?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5904067876026","{""Size"":""750g"",""Flavour"":""Coconut""}","14.99","true","0.00","true","true","https://i.ebayimg.com/images/g/VfkAAOSw-UdkUtdU/s-l1600.jpg","750","g","Coconut","1","spread"
"eBay UK","https://www.ebay.co.uk","70","1622","233673267094","v1|233673267094|533567926335","","Optimum Nutrition 100% Plant Protein 684g","Chocolate / 684g","Optimum Nutrition","Whey Protein","optimum-nutrition-100-plant-protein-684g","https://www.ebay.co.uk/itm/233673267094?var=533567926335","https://www.ebay.co.uk/itm/233673267094?var=533567926335&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5060469987125","{""Size"":""684g"",""Flavour"":""Chocolate""}","28.63","true","0.00","true","true","https://i.ebayimg.com/images/g/SioAAeSw~yRoigJY/s-l1600.jpg","684","g","Chocolate","1","powder"
