retailer_name,retailer_website,product_id,product_variant_id,external_product_id,external_variant_id,external_sku,product_name,variant_name,brand,category,slug,external_url,affiliate_url,external_gtin,external_options,price,shipping_known,shipping_cost,in_stock,is_for_sale,image,size,size_unit,flavour,pack_count,product_format
"eBay UK","https://www.ebay.co.uk","81","67","398263424505","v1|398263424505|666530542921","","BioTech USA Tri-Creatine Malate 300g","Default","BioTech USA","Creatine","biotech-usa-tri-creatine-malate-300g","https://www.ebay.co.uk/itm/398263424505?var=666530542921","https://www.ebay.co.uk/itm/398263424505?var=666530542921&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5999076228171","{""Variant"":""Default""}","22.99","true","0.00","true","true","https://i.ebayimg.com/images/g/X9YAAeSw4qpqdzWZ/s-l1600.jpg","","","","1","powder"
"eBay UK","https://www.ebay.co.uk","790","1094","327261939687","v1|327261939687|516049468284","","Per4m Creatine Sherbet 310g","Cherry Fizz / 310g","Per4m","Creatine","per4m-creatine-sherbet-310g","https://www.ebay.co.uk/itm/327261939687?var=516049468284","https://www.ebay.co.uk/itm/327261939687?var=516049468284&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5061097264619","{""Size"":""310g"",""Flavour"":""Cherry Fizz""}","20.49","true","0.00","true","true","https://i.ebayimg.com/images/g/-7MAAeSwAY9qVzzi/s-l1600.jpg","310","g","Cherry Fizz","1","powder"
"eBay UK","https://www.ebay.co.uk","131","140","204492290001","v1|204492290001|505081430817","","Applied Nutrition Critical Greens 250g","Default","Applied Nutrition","Health Supplements","applied-nutrition-critical-greens-250g","https://www.ebay.co.uk/itm/204492290001?var=505081430817","https://www.ebay.co.uk/itm/204492290001?var=505081430817&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","634158939037","{""Variant"":""Default""}","14.95","true","0.00","true","true","https://i.ebayimg.com/images/g/YJEAAOSwsf5lI8-3/s-l1600.jpg","","","","1",""
"eBay UK","https://www.ebay.co.uk","55","1029","176656268247","v1|176656268247|0","","BioTech USA Nitrox Therapy 340g","Blue Grape / 340g","BioTech USA","Pre Workout","biotech-usa-nitrox-therapy-340g","https://www.ebay.co.uk/itm/176656268247","https://www.ebay.co.uk/itm/176656268247?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5999076253548","{""Size"":""340g"",""Flavour"":""Blue Grape""}","18.00","true","0.00","true","true","https://i.ebayimg.com/images/g/xpUAAOSw9B1nI4dc/s-l1600.jpg","340","g","Blue Grape","1","powder"
"eBay UK","https://www.ebay.co.uk","219","202","388240705551","v1|388240705551|0","","Solgar Digestive Enzymes 100 Tablets","Default","Solgar","Health Supplements","solgar-digestive-enzymes-100-tablets","https://www.ebay.co.uk/itm/388240705551","https://www.ebay.co.uk/itm/388240705551?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","033984010000","{""Variant"":""Default""}","19.69","true","0.00","true","true","https://i.ebayimg.com/images/g/7qEAAOSwfUhoCRIK/s-l1600.jpg","","","","1",""
"eBay UK","https://www.ebay.co.uk","863","1300","278003127980","v1|278003127980|2560859598066","","CNP Loaded Beef Protein 1.8kg","Big Juicy Melons / 1800g","CNP","Whey Protein","cnp-loaded-beef-protein-1-8kg","https://www.ebay.co.uk/itm/278003127980?var=2560859598066","https://www.ebay.co.uk/itm/278003127980?var=2560859598066&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Size"":""1800g"",""Flavour"":""Big Juicy Melons""}","35.95","true","4.25","true","true","https://i.ebayimg.com/images/g/VVkAAeSwHNFqDN8Z/s-l1600.jpg","1800","g","Big Juicy Melons","1","powder"
"eBay UK","https://www.ebay.co.uk","34","28","177555839706","v1|177555839706|0","","BioTech USA 100% L-Glutamine 500g","Default","BioTech USA","Amino Acids","biotech-usa-100-l-glutamine-500g","https://www.ebay.co.uk/itm/177555839706","https://www.ebay.co.uk/itm/177555839706?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5999076204311","{""Variant"":""Default""}","22.00","true","0.00","true","true","https://i.ebayimg.com/images/g/8m0AAeSwX3xpDhHi/s-l1600.jpg","","","","1",""
"eBay UK","https://www.ebay.co.uk","370","348","187768437029","v1|187768437029|0","","BioTech USA L-Arginine Powder 300g","Default","BioTech USA","Amino Acids","biotech-usa-l-arginine-powder-300g","https://www.ebay.co.uk/itm/187768437029","https://www.ebay.co.uk/itm/187768437029?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Variant"":""Default""}","24.99","true","0.00","true","true","https://i.ebayimg.com/images/g/T7IAAeSwv8xqgIeX/s-l1600.jpg","","","","1",""
"eBay UK","https://www.ebay.co.uk","360","364","187833104047","v1|187833104047|0","","Olimp TCM 1100 Mega Caps 120 Capsules","Default","Olimp","Creatine","olimp-tcm-1100-mega-caps-120-capsules","https://www.ebay.co.uk/itm/187833104047","https://www.ebay.co.uk/itm/187833104047?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5901330020520","{""Variant"":""Default""}","19.09","true","0.00","true","true","https://i.ebayimg.com/images/g/1kIAAeSwnflqAzEE/s-l1600.jpg","","","","1","capsule"
"eBay UK","https://www.ebay.co.uk","875","1339","406431648421","v1|406431648421|677122188671","","Trained By JP Performance Isolate Tri Blend 2kg","Caramel fudge / 2kg","Trained By JP","Whey Protein","trained-by-jp-performance-isolate-tri-blend-2kg","https://www.ebay.co.uk/itm/406431648421?var=677122188671","https://www.ebay.co.uk/itm/406431648421?var=677122188671&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Size"":""2000g"",""Flavour"":""Caramel fudge""}","54.99","true","3.99","true","true","https://i.ebayimg.com/images/g/nlcAAeSwDbNpKkXJ/s-l1600.jpg","2000","g","Caramel fudge","1","powder"
