"retailer_name","retailer_website","product_id","product_variant_id","external_product_id","external_variant_id","external_sku","product_name","variant_name","brand","category","slug","external_url","affiliate_url","external_gtin","external_options","price","shipping_known","shipping_cost","in_stock","is_for_sale","image","size","size_unit","flavour","pack_count","product_format"
"eBay UK","https://www.ebay.co.uk","6","1739","406396487824","v1|406396487824|676718471799","","Ghost Legend V4 Pre-Workout 660g","Welch's Grape / 660g","Ghost","Pre Workout","ghost-legend-v4-pre-workout-660g","https://www.ebay.co.uk/itm/406396487824?var=676718471799","https://www.ebay.co.uk/itm/406396487824?var=676718471799&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Size"":""660g"",""Flavour"":""Welch's Grape""}","39.99","true","2.99","true","true","https://i.ebayimg.com/images/g/5OYAAeSw1xFpHGCP/s-l1600.jpg","660","g","Welch's Grape","1","powder"
"eBay UK","https://www.ebay.co.uk","7","1574","198228877102","v1|198228877102|497356872937","","Optimum Nutrition Gold Standard 100% Whey 2.27kg","Cookies & Cream / 2kg","Optimum Nutrition","Whey Protein","optimum-nutrition-gold-standard-whey-2-27kg","https://www.ebay.co.uk/itm/198228877102?var=497356872937","https://www.ebay.co.uk/itm/198228877102?var=497356872937&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Size"":""2000g"",""Flavour"":""Cookies & Cream""}","78.99","true","0.00","true","true","https://i.ebayimg.com/images/g/eQQAAeSwb1Zpxaub/s-l1600.jpg","2000","g","Cookies & Cream","1","powder"
"eBay UK","https://www.ebay.co.uk","10","1705","147306765663","v1|147306765663|445732030633","","BioTech USA Iso Whey Zero 1816g","Tiramisu / 1.816kg","BioTech USA","Whey Protein","biotech-usa-iso-whey-zero-1816g","https://www.ebay.co.uk/itm/147306765663?var=445732030633","https://www.ebay.co.uk/itm/147306765663?var=445732030633&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5999076263912","{""Size"":""1816g"",""Flavour"":""Tiramisu""}","97.58","true","0.00","true","true","https://www.powerbody.co.uk/media/catalog/product/ebay/auction_image_2025-08-19_68a425a4b8fa2.jpg","1816","g","Tiramisu","1","powder"
"eBay UK","https://www.ebay.co.uk","19","1579","325991814548","v1|325991814548|515421410637","","Dorian Yates Blood & Guts Pre Workout 380g","Pear-Kiwi / 380g","Dorian Yates","Pre Workout","dorian-yates-blood--guts-pre-workout-380g","https://www.ebay.co.uk/itm/325991814548?var=515421410637&amdata=enc%3AAQALAAAAoCHNgUiiE%2FjQhlDTaMiAde8D0bX4Jbp5UBk%2F7o8rvwGMEmRAmCp9FARW4VGLUf7wbEFX52NfohedjmQT9Ycwbc7E6QxCFbdoCwmlOQUQaKCYGvkWK18c8Df35307gPiwjKh3Kd81jm3UGvKXMrTqYsoGUlx6uJyy%2FaVI7dj0q2iZMfphRe14gw5zKjBRkhcYYGY%2B2npcSxpVCpNOFC38VJQ%3D","https://www.ebay.co.uk/itm/325991814548?var=515421410637&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050&amdata=enc%3AAQALAAAAoCHNgUiiE%2FjQhlDTaMiAde8D0bX4Jbp5UBk%2F7o8rvwGMEmRAmCp9FARW4VGLUf7wbEFX52NfohedjmQT9Ycwbc7E6QxCFbdoCwmlOQUQaKCYGvkWK18c8Df35307gPiwjKh3Kd81jm3UGvKXMrTqYsoGUlx6uJyy%2FaVI7dj0q2iZMfphRe14gw5zKjBRkhcYYGY%2B2npcSxpVCpNOFC38VJQ%3D","5060763890459","{""Size"":""380g"",""Flavour"":""Pear-Kiwi""}","22.99","true","0.00","true","true","https://i.ebayimg.com/images/g/YJ0AAOSw3mNlvQAk/s-l1600.jpg","380","g","Pear-Kiwi","1","powder"
"eBay UK","https://www.ebay.co.uk","24","1583","167879148689","v1|167879148689|467421651920","","PEScience Prolific 280g","Raspberry Lemonade / 280g","PEScience","Pre Workout","pescience-prolific-280g","https://www.ebay.co.uk/itm/167879148689?var=467421651920","https://www.ebay.co.uk/itm/167879148689?var=467421651920&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Size"":""280g"",""Flavour"":""Raspberry Lemonade""}","34.99","true","0.00","true","true","https://i.ebayimg.com/images/g/a5gAAeSwYVBo-eVA/s-l1600.jpg","280","g","Raspberry Lemonade","1","powder"
"eBay UK","https://www.ebay.co.uk","31","1594","134591032739","v1|134591032739|434103081092","","Per4m Vegan Protein 908g","Double Chocolate / 908g","Per4m","Whey Protein","per4m-vegan-protein-908g","https://www.ebay.co.uk/itm/134591032739?var=434103081092&amdata=enc%3AAQALAAAAoCHNgUiiE%2FjQhlDTaMiAde%2FL8N5jDcNT8UauzfeiGofo5UYk%2BZJMWb1Nsl8DbyX%2FPfQ9nCLMI0WwXBC0COavy2U7Y3%2FNOA9v0TESAuxFTEnhW9OHUZPb7pn8ZjBCkGcuJYt9i4QYT1k6W1CTt04L8rrPAeBb%2F3bOV4V9M%2Fi4o9c%2BHG6y1SCaJHxaUBIWte9E5Z%2B7k2F75oD0uVgFITSWPtw%3D","https://www.ebay.co.uk/itm/134591032739?var=434103081092&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050&amdata=enc%3AAQALAAAAoCHNgUiiE%2FjQhlDTaMiAde%2FL8N5jDcNT8UauzfeiGofo5UYk%2BZJMWb1Nsl8DbyX%2FPfQ9nCLMI0WwXBC0COavy2U7Y3%2FNOA9v0TESAuxFTEnhW9OHUZPb7pn8ZjBCkGcuJYt9i4QYT1k6W1CTt04L8rrPAeBb%2F3bOV4V9M%2Fi4o9c%2BHG6y1SCaJHxaUBIWte9E5Z%2B7k2F75oD0uVgFITSWPtw%3D","5060660080168","{""Size"":""908g"",""Flavour"":""Double Chocolate""}","24.95","true","0.00","true","true","https://i.ebayimg.com/images/g/FsYAAOSw5zxm~blr/s-l1600.jpg","908","g","Double Chocolate","1","powder"
"eBay UK","https://www.ebay.co.uk","44","1733","135253043475","v1|135253043475|434696910530","","PEScience Amino IV 375g","Sour Green Apple / 375g","PEScience","Amino Acids","pescience-amino-iv-375g","https://www.ebay.co.uk/itm/135253043475?var=434696910530","https://www.ebay.co.uk/itm/135253043475?var=434696910530&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","0040232289149","{""Size"":""375g"",""Flavour"":""Sour Green Apple""}","31.56","true","0.00","true","true","https://www.powerbody.co.uk/media/catalog/product/ebay/auction_image_2021-02-12_6026452a2124c.jpg","375","g","Sour Green Apple","1","powder"
"eBay UK","https://www.ebay.co.uk","786","1070","327060618170","v1|327060618170|0","","Per4m Mult Vita+Min 30 Capsules","Default","Per4m","Vitamins","per4m-mult-vita-min-30-capsules","https://www.ebay.co.uk/itm/327060618170?amdata=enc%3AAQALAAAAoCHNgUiiE%2FjQhlDTaMiAde8jNsmmL4cGyIq4TNJOQYyg--CDmvTCBT8ngSUZOoproOxpwzMt%2B8g%2FU67ivi7lqILWhGDkVOOlN3PxGG3NZtwNp%2BK4dtHYwNGHY%2BVqQ4UqMwqKNtTBWY4L8sHgilbRto3x3vWFZd5fJd2bDYeRt%2BO%2BVbLWPUTvvjA5biC3cbfaF1%2FiDjiRSu7Z4VZ7KihBeHs%3D","https://www.ebay.co.uk/itm/327060618170?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050&amdata=enc%3AAQALAAAAoCHNgUiiE%2FjQhlDTaMiAde8jNsmmL4cGyIq4TNJOQYyg--CDmvTCBT8ngSUZOoproOxpwzMt%2B8g%2FU67ivi7lqILWhGDkVOOlN3PxGG3NZtwNp%2BK4dtHYwNGHY%2BVqQ4UqMwqKNtTBWY4L8sHgilbRto3x3vWFZd5fJd2bDYeRt%2BO%2BVbLWPUTvvjA5biC3cbfaF1%2FiDjiRSu7Z4VZ7KihBeHs%3D","5060660089758","{""Variant"":""Default""}","15.29","true","0.00","true","true","https://i.ebayimg.com/images/g/X5oAAeSwkk9pvo74/s-l1600.jpg","","","","1","capsule"
"eBay UK","https://www.ebay.co.uk","58","1609","227132642275","v1|227132642275|0","","5 Nutrition Rich Piana  Full As F*ck 387g","Beach Blast / 387g","5% Nutrition","Pre Workout","5-nutrition-rich-piana--full-as-fck-387g","https://www.ebay.co.uk/itm/227132642275","https://www.ebay.co.uk/itm/227132642275?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","850054547965","{""Size"":""387g"",""Flavour"":""Beach Blast""}","37.00","true","0.00","true","true","https://i.ebayimg.com/images/g/WaMAAeSwy2xpP9vE/s-l1600.jpg","387","g","Beach Blast","1","powder"
"eBay UK","https://www.ebay.co.uk","59","1612","176728986438","v1|176728986438|0","","5% Nutrition Rich Piana 5150 375g","Green Apple / 375g","5% Nutrition","Pre Workout","5-nutrition-rich-piana-5150-375g","https://www.ebay.co.uk/itm/176728986438","https://www.ebay.co.uk/itm/176728986438?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","850006755387","{""Size"":""375g"",""Flavour"":""Green Apple""}","34.00","true","0.00","true","true","https://i.ebayimg.com/images/g/AlkAAOSwlnBnWECG/s-l1600.jpg","375","g","Green Apple","1","powder"
