"retailer_name","retailer_website","product_id","product_variant_id","external_product_id","external_variant_id","external_sku","product_name","variant_name","brand","category","slug","external_url","affiliate_url","external_gtin","external_options","price","shipping_known","shipping_cost","in_stock","is_for_sale","image","size","size_unit","flavour","pack_count","product_format"
"eBay UK","https://www.ebay.co.uk","755","883","287487748050","v1|287487748050|0","","Optimum Nutrition Platinum Creatine Plus 350g","Orange / 350g","Optimum Nutrition","Creatine","optimum-nutrition-platinum-creatine-plus-350g","https://www.ebay.co.uk/itm/287487748050","https://www.ebay.co.uk/itm/287487748050?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","","{""Size"":""350g"",""Flavour"":""Orange""}","21.99","true","0.00","true","true","https://i.ebayimg.com/images/g/wSgAAeSwEMdqXRV5/s-l1600.jpg","350","g","Orange","1","powder"
"eBay UK","https://www.ebay.co.uk","1116","2419","147450939094","v1|147450939094|0","","ALLNUTRITION Vitamin D3 4000 + K2 Drops 30ml","Unflavoured / 30ml","ALLNUTRITION","Vitamins","allnutrition-vitamin-d3-4000-k2-drops-30ml","https://www.ebay.co.uk/itm/147450939094","https://www.ebay.co.uk/itm/147450939094?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5902837742649","{""Size"":""30ml"",""Flavour"":""Unflavoured""}","11.91","true","0.00","true","true","https://i.ebayimg.com/images/g/vRIAAeSw76lqdkLx/s-l1600.jpg","30","ml","Unflavoured","1","liquid"
"eBay UK","https://www.ebay.co.uk","1117","2421","227315409315","v1|227315409315|0","","ALLNUTRITION Vitamin C Drops 30ml","Unflavoured / 30ml","ALLNUTRITION","Vitamins","allnutrition-vitamin-c-drops-30ml","https://www.ebay.co.uk/itm/227315409315?amdata=enc%3AAQALAAAAoCHNgUiiE%2FjQhlDTaMiAde8aNzUeTlhkDErld1s2pzi5O4KSjWQSqFOjLGk1bXI3FFyVsFOGygAW3rzQnAA8fDR%2F9EtE8MipIyYtwNGaRxkll8t3K9BgXxH6Tgc8HNdKGi40BvE25d0%2FMtyKRm4kmbyAhyRiHyv2Gl2UN4CEd8WwJo2mAguTbHvfn%2F92YuNBpE4ys5yiseX5HF3cK0eqVeA%3D","https://www.ebay.co.uk/itm/227315409315?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050&amdata=enc%3AAQALAAAAoCHNgUiiE%2FjQhlDTaMiAde8aNzUeTlhkDErld1s2pzi5O4KSjWQSqFOjLGk1bXI3FFyVsFOGygAW3rzQnAA8fDR%2F9EtE8MipIyYtwNGaRxkll8t3K9BgXxH6Tgc8HNdKGi40BvE25d0%2FMtyKRm4kmbyAhyRiHyv2Gl2UN4CEd8WwJo2mAguTbHvfn%2F92YuNBpE4ys5yiseX5HF3cK0eqVeA%3D","5902837750415","{""Size"":""30ml"",""Flavour"":""Unflavoured""}","3.70","true","3.99","true","true","https://i.ebayimg.com/images/g/fk0AAeSwr9dp66OP/s-l1600.jpg","30","ml","Unflavoured","1","liquid"
"eBay UK","https://www.ebay.co.uk","1128","2469","147458020827","v1|147458020827|0","","ALLNUTRITION Vitamin B12 Methyl Drops 30ml","Unflavoured / 30ml","ALLNUTRITION","Vitamins","allnutrition-vitamin-b12-methyl-drops-30ml","https://www.ebay.co.uk/itm/147458020827","https://www.ebay.co.uk/itm/147458020827?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5902837742663","{""Size"":""30ml"",""Flavour"":""Unflavoured""}","10.39","true","0.00","true","true","https://i.ebayimg.com/images/g/27EAAeSww5NqdXzl/s-l1600.jpg","30","ml","Unflavoured","1","liquid"
"eBay UK","https://www.ebay.co.uk","163","518","256978504893","v1|256978504893|557601584732","","Dorian Yates Black Bombs 60 Tablets","Default","Dorian Yates","Health Supplements","dorian-yates-black-bombs-60-tablets","https://www.ebay.co.uk/itm/256978504893?var=557601584732&amdata=enc%3AAQALAAAAoCHNgUiiE%2FjQhlDTaMiAde%2FG2NElw78oOeIyuNBNiNuLaWK4uEjlNvw8RTALexMrWN6ydlcGRI13YuqJI%2Bf5kaJeZTj4x%2F1uurK83qEygmCew1w%2B%2BpIHHeiNGMwxpJImeqVsm99PgVvkE%2FHDJ2LX7wkNqGY%2B%2Fohdv%2FnZncM0RxQotWtJt4TF2hPf3rOrEUZW%2FjjA5cZGkiCwCRdEtM%2BxPaA%3D","https://www.ebay.co.uk/itm/256978504893?var=557601584732&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050&amdata=enc%3AAQALAAAAoCHNgUiiE%2FjQhlDTaMiAde%2FG2NElw78oOeIyuNBNiNuLaWK4uEjlNvw8RTALexMrWN6ydlcGRI13YuqJI%2Bf5kaJeZTj4x%2F1uurK83qEygmCew1w%2B%2BpIHHeiNGMwxpJImeqVsm99PgVvkE%2FHDJ2LX7wkNqGY%2B%2Fohdv%2FnZncM0RxQotWtJt4TF2hPf3rOrEUZW%2FjjA5cZGkiCwCRdEtM%2BxPaA%3D","5060763897694","{""Variant"":""Default""}","19.95","true","3.95","true","true","https://cdn.shopify.com/s/files/1/0737/5572/1994/files/dy-black-bombs_2126c694-165e-4d3d-b047-3e938fb5af03.jpg?v=1764060938","","","","1",""
"eBay UK","https://www.ebay.co.uk","257","230","198346682799","v1|198346682799|0","","Solgar 5-HTP Complex 30 Vegi Capsules","Default","Solgar","Health Supplements","solgar-5-htp-complex-30-vegi-capsules","https://www.ebay.co.uk/itm/198346682799","https://www.ebay.co.uk/itm/198346682799?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","033984014480","{""Variant"":""Default""}","39.66","true","0.00","true","true","https://i.ebayimg.com/images/g/DwIAAeSwLxhpnLD6/s-l1600.jpg","","","","1",""
"eBay UK","https://www.ebay.co.uk","285","237","257053651805","v1|257053651805|557696446300","","USN 19-Anabol Testo 90 Capsules","Default","USN","Health Supplements","usn-19-anabol-testo-90-capsules","https://www.ebay.co.uk/itm/257053651805?var=557696446300&amdata=enc%3AAQALAAAAoCHNgUiiE%2FjQhlDTaMiAde8hu2LoISoGSVCjs5QNJDQfIvBvzcGPTXySLdKmIoYQkVNu%2BhEqNdETpg%2FkC209olTXTTq9BjMLbrMDKHnEQ36XzXNmuNfwQFlIwwCtFs8SA12CmVJKzL8v22UGPXWvE2wqx9Rj%2Be5N2v3WEJWJH%2BrKtUhnk7HuAAASfO%2FWy2MF9g%2FNGXVep26OD8nnL7YBtlo%3D","https://www.ebay.co.uk/itm/257053651805?var=557696446300&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050&amdata=enc%3AAQALAAAAoCHNgUiiE%2FjQhlDTaMiAde8hu2LoISoGSVCjs5QNJDQfIvBvzcGPTXySLdKmIoYQkVNu%2BhEqNdETpg%2FkC209olTXTTq9BjMLbrMDKHnEQ36XzXNmuNfwQFlIwwCtFs8SA12CmVJKzL8v22UGPXWvE2wqx9Rj%2Be5N2v3WEJWJH%2BrKtUhnk7HuAAASfO%2FWy2MF9g%2FNGXVep26OD8nnL7YBtlo%3D","6009694862301","{""Variant"":""Default""}","25.95","true","3.95","true","true","https://cdn.shopify.com/s/files/1/0737/5572/1994/files/usn-19-anabol-testo.jpg?v=1754937218","","","","1",""
"eBay UK","https://www.ebay.co.uk","342","341","286049984782","v1|286049984782|588148986109","","Optimum Nutrition Opti-Men 90 Tablets","Default","Optimum Nutrition","Health Supplements","optimum-nutrition-opti-men-90-tablets","https://www.ebay.co.uk/itm/286049984782?var=588148986109","https://www.ebay.co.uk/itm/286049984782?var=588148986109&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5060469986890","{""Variant"":""Default""}","19.99","true","0.00","true","true","https://i.ebayimg.com/images/g/PCMAAOSwWl1iBSpf/s-l1600.jpg","","","","1",""
"eBay UK","https://www.ebay.co.uk","350","343","353439521141","v1|353439521141|0","","Swanson Full Spectrum Lion's Mane Mushroom 60 Caps","Default","Swanson","Health Supplements","swanson-full-spectrum-lions-mane-mushroom-60-caps","https://www.ebay.co.uk/itm/353439521141?amdata=enc%3AAQALAAAAoCHNgUiiE%2FjQhlDTaMiAde%2BZCD7nAnrDNyyawdaJnpt7lvtHYfmEwHrNEXhImeP79ohYF9cLuGlcdbLgcqQgr%2B6Zk3VLOy4NlIPEkH5M0lCPi2QgKgemP8SlIlr39k00YhOsmnXqakJF%2BShgrYxK1YB9gaHhMZ2ZHUOQ6DtEvuuDlCCZuB2L2BE3VdeTV0vOQCyf%2BbEYi5VJuqZjRsnVS%2BY%3D","https://www.ebay.co.uk/itm/353439521141?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050&amdata=enc%3AAQALAAAAoCHNgUiiE%2FjQhlDTaMiAde%2BZCD7nAnrDNyyawdaJnpt7lvtHYfmEwHrNEXhImeP79ohYF9cLuGlcdbLgcqQgr%2B6Zk3VLOy4NlIPEkH5M0lCPi2QgKgemP8SlIlr39k00YhOsmnXqakJF%2BShgrYxK1YB9gaHhMZ2ZHUOQ6DtEvuuDlCCZuB2L2BE3VdeTV0vOQCyf%2BbEYi5VJuqZjRsnVS%2BY%3D","087614110967","{""Variant"":""Default""}","9.09","true","0.00","true","true","https://i.ebayimg.com/images/g/l6MAAOSw4kZkAeDI/s-l1600.jpg","","","","1",""
"eBay UK","https://www.ebay.co.uk","366","347","178052718291","v1|178052718291|0","","Swanson Iron Citrate 60 Veggie Capsules","Default","Swanson","Health Supplements","swanson-iron-citrate-60-veggie-capsules","https://www.ebay.co.uk/itm/178052718291?amdata=enc%3AAQALAAAAoCHNgUiiE%2FjQhlDTaMiAde%2B7thoRNAyCQeR1Qr83djYFpZZJ131FmWiwwVDtMFyp1HBFysHybLutaSrI3kqsKk7pT3zZ9T2%2B%2B4UHGycsFjNMqHvV%2B5RLlBK7D80dB48yd%2FCMe2Vmq8C8TNn7gX4qcZetAIGm2Wn9r388wFYl3wmvqP0rYQIfVSLbTZbr5OOmJ9X0OogELkl4xcyCA7e2GjI%3D","https://www.ebay.co.uk/itm/178052718291?mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050&amdata=enc%3AAQALAAAAoCHNgUiiE%2FjQhlDTaMiAde%2B7thoRNAyCQeR1Qr83djYFpZZJ131FmWiwwVDtMFyp1HBFysHybLutaSrI3kqsKk7pT3zZ9T2%2B%2B4UHGycsFjNMqHvV%2B5RLlBK7D80dB48yd%2FCMe2Vmq8C8TNn7gX4qcZetAIGm2Wn9r388wFYl3wmvqP0rYQIfVSLbTZbr5OOmJ9X0OogELkl4xcyCA7e2GjI%3D","087614113777","{""Variant"":""Default""}","9.00","true","0.00","true","true","https://i.ebayimg.com/images/g/C-oAAeSwmqJpWAFE/s-l1600.jpg","","","","1",""
